"Date","GRASIM.NS.Open","GRASIM.NS.High","GRASIM.NS.Low","GRASIM.NS.Close","GRASIM.NS.Volume","GRASIM.NS.Adjusted"
2016-01-20,3469.7,3569.55,3458,3476.15,438300,678.6
2016-01-21,3485.25,3509,3436.55,3452.25,227000,673.93
2016-01-22,3460.1,3501,3435,3447.3,195000,672.96
2016-01-25,3450.1,3484.9,3430,3444.75,292400,672.47
2016-01-26,3444.75,3444.75,3444.75,3444.75,0,672.47
2016-01-27,3422.05,3483.8,3415.25,3423.75,468500,668.37
2016-01-28,3440,3447.8,3321.05,3345.15,735600,653.02
2016-01-29,3351.2,3444,3351.2,3393.65,454100,662.49
2016-02-01,3512,3569.95,3420,3438.4,898700,671.23
2016-02-02,3456,3479,3413.3,3439.2,401300,671.38
2016-02-03,3422,3463,3405,3412,353700,666.07
2016-02-04,3426.3,3457.2,3404,3433.15,151400,670.2
2016-02-05,3449,3480,3426.4,3463.15,362100,676.06
2016-02-08,3479,3517.15,3418.05,3429.45,245300,669.48
2016-02-09,3419.85,3462.55,3390,3398.1,176100,663.36
2016-02-10,3398,3444,3375,3425.4,177100,668.69
2016-02-11,3424,3439.7,3352.75,3392.15,270500,662.2
2016-02-12,3392.15,3401.95,3325.05,3383.9,180600,660.59
2016-02-15,3399.95,3509.95,3385,3472.4,302400,677.86
2016-02-16,3476,3504.9,3419.4,3441.1,128000,671.75
2016-02-17,3449,3499.75,3399.85,3455.8,339600,674.62
2016-02-18,3477,3495,3415,3448.5,182500,673.2
2016-02-19,3449,3449,3410,3427.6,160500,669.12
2016-02-22,3430,3493.8,3430,3482.9,168300,679.91
2016-02-23,3488.5,3495,3380,3407.8,315200,665.25
2016-02-24,3394,3435,3360.1,3367.8,236600,657.44
2016-02-25,3380,3411.1,3280.1,3301.45,553100,644.49
2016-02-26,3319,3322,3233,3300.6,417100,644.33
2016-02-29,3310,3361,3253.55,3327.65,315900,649.61
2016-03-01,3350,3446,3311,3424.85,479300,668.58
2016-03-02,3443,3488,3433.6,3451.5,137100,673.78
2016-03-03,3459,3529,3440,3496.95,249800,682.66
2016-03-04,3499,3530.9,3450,3515.3,508400,686.24
2016-03-07,3515.3,3515.3,3515.3,3515.3,0,686.24
2016-03-08,3523.5,3548,3501.05,3529.35,291600,688.98
2016-03-09,3530,3652,3520,3631.9,422800,709
2016-03-10,3639,3664.8,3582,3601.5,219100,703.07
2016-03-11,3591.65,3631,3565,3582.45,206000,699.35
2016-03-14,3592,3627.8,3573.75,3587.3,238500,700.29
2016-03-15,3587,3628,3545,3550.55,563800,693.12
