"Date","BHARATFIN.NS.Open","BHARATFIN.NS.High","BHARATFIN.NS.Low","BHARATFIN.NS.Close","BHARATFIN.NS.Volume","BHARATFIN.NS.Adjusted"
2015-09-25,392.65,392.65,392.65,392.65,0,392.65
2015-09-28,395.5,396,381,384.6,1088200,384.6
2015-09-29,379,400,373.4,387.2,2673400,387.2
2015-09-30,388.95,409.9,388.95,405.55,3351900,405.55
2015-10-01,410,417,401,404.15,1789100,404.15
2015-10-02,404.15,404.15,404.15,404.15,0,404.15
2015-10-05,409.95,427.55,408,424.45,2378800,424.45
2015-10-06,427,433.7,419.2,425.55,1614200,425.55
2015-10-07,426,433,422.8,430.85,1122700,430.85
2015-10-08,433,438.4,425,437.2,1220200,437.2
2015-10-09,441,443.9,430.8,434.8,1323400,434.8
2015-10-12,434.9,436.85,422.35,428.35,652300,428.35
2015-10-13,429.5,430.6,416,426.9,1746600,426.9
2015-10-14,428,441.9,426.5,438.45,1430700,438.45
2015-10-15,443,453.2,440.2,450.05,1670500,450.05
2015-10-16,452,458,446.8,456.05,1089300,456.05
2015-10-19,459.7,462.4,436.3,448.65,4791100,448.65
2015-10-20,470,474,439.15,441.6,7690900,441.6
2015-10-21,442.4,446.8,426.3,429.8,3143700,429.8
2015-10-22,429.8,429.8,429.8,429.8,0,429.8
2015-10-23,430.25,437.25,421.25,423.3,3667400,423.3
2015-10-26,425.45,426.45,407.65,410.6,2511100,410.6
2015-10-27,409,410.55,398.1,400.65,2641600,400.65
2015-10-28,404.4,428.9,403.25,426.8,5470900,426.8
2015-10-29,429.25,436.8,426.1,433.4,4027900,433.4
2015-10-30,435,436.8,427,431.2,1524000,431.2
2015-11-02,431.2,447.25,427.25,445.6,2419900,445.6
2015-11-03,449.4,455.05,442,453.5,2462000,453.5
2015-11-04,454.9,458.6,437.6,442.35,2506200,442.35
2015-11-05,442.7,446.85,425.65,428.05,1439200,428.05
2015-11-06,428,441.4,422.9,439.6,1338600,439.6
2015-11-09,427,454.9,427,452,1474700,452
2015-11-10,451.3,451.95,442.3,447.25,856000,447.25
2015-11-11,447.25,447.25,447.25,447.25,0,447.25
2015-11-12,447.25,447.25,447.25,447.25,0,447.25
2015-11-13,445.8,450,431,436.6,676000,436.6
2015-11-16,430.2,444.9,430.2,442.75,882400,442.75
2015-11-17,444.7,445.7,428.8,430.85,1045700,430.85
2015-11-18,431,434.6,423.05,427.2,1044600,427.2
2015-11-19,429.1,438.95,428.25,432.9,786700,432.9
2015-11-20,433.5,435.4,426.2,428.15,1339300,428.15
2015-11-23,429.8,432.5,425.5,427.35,471200,427.35
2015-11-24,427.8,430.45,425.6,426.95,739000,426.95
2015-11-25,426.95,426.95,426.95,426.95,0,426.95
2015-11-26,429.3,431.3,419.9,424.05,1858300,424.05
2015-11-27,438,456.85,437.3,454.6,5085200,454.6
2015-11-30,459,461.6,450.6,451.3,1721300,451.3
2015-12-01,454.3,460.55,452.85,455.65,1256200,455.65
2015-12-02,457,470.75,456.55,459.35,1535800,459.35
2015-12-03,459.4,460.75,449,451.9,1147500,451.9
2015-12-04,449,457,444.2,446.05,799600,446.05
2015-12-07,449,459.2,448.1,453.7,1347100,453.7
2015-12-08,451.1,458.85,442.5,445.55,722800,445.55
2015-12-09,443.8,447.75,434.95,435.45,912400,435.45
2015-12-10,436.9,452.65,435.1,449.95,889400,449.95
2015-12-11,452,455.75,437.6,440.2,1101000,440.2
2015-12-14,437.25,452.8,436.05,449.55,742500,449.55
2015-12-15,447.1,463.2,446.2,460.9,1194800,460.9
2015-12-16,466,477.8,465,466.9,1570600,466.9
2015-12-17,470.6,485.9,468,483.6,1571200,483.6
2015-12-18,481,489.75,477.05,478.2,1333700,478.2
2015-12-21,477,493,474.8,489.8,1067400,489.8
2015-12-22,490.9,497.7,485.05,489.75,1643400,489.75
2015-12-23,493.9,497,490.25,494.4,516300,494.4
2015-12-24,492.7,494.9,485.25,489.2,705900,489.2
2015-12-25,489.2,489.2,489.2,489.2,0,489.2
2015-12-28,490,492.9,482.05,485.3,612900,485.3
2015-12-29,489.8,496,487.75,493.7,988100,493.7
2015-12-30,502,505,493,494.35,1707400,494.35
2015-12-31,496.5,503,490.15,499.05,1205200,499.05
2016-01-01,497.95,508.5,493.5,506.3,902000,506.3
2016-01-04,503,512.5,488.1,493.5,1021200,493.5
2016-01-05,496,515.8,491,512.3,1228800,512.3
2016-01-06,513,524,512,520.5,3041700,520.5
2016-01-07,515,523.45,502.4,518.55,2678100,518.55
2016-01-08,522.7,546.25,521.5,531.35,3558300,531.35
2016-01-11,526,531.7,517.35,524.55,1124600,524.55
2016-01-12,527.9,538.5,521.3,527.6,1242700,527.6
2016-01-13,530,535,505.15,524.6,1559400,524.6
2016-01-14,510,520.6,504.55,514.1,1261000,514.1
2016-01-15,517.9,523.25,492.25,497.45,1097700,497.45
2016-01-18,495.5,502,470.15,477.7,1297000,477.7
2016-01-19,478.9,484.5,465.9,475.75,1293300,475.75
2016-01-20,469.5,469.5,439,450,1519700,450
2016-01-21,455.2,474.8,435.5,451.05,2353400,451.05
2016-01-22,459,487.8,455,483.55,1930600,483.55
2016-01-25,485.5,491.5,476.8,485.25,895200,485.25
2016-01-26,485.25,485.25,485.25,485.25,0,485.25
2016-01-27,493,502.95,483,497.75,2269500,497.75
2016-01-28,505,542,497.75,535.05,8903200,535.05
2016-01-29,531.95,541.85,523.6,529.6,2971200,529.6
2016-02-01,531,551.95,525.65,549.2,2455200,549.2
2016-02-02,548,563.4,545.25,551.45,3458500,551.45
2016-02-03,545.9,554.95,527,548.45,2999100,548.45
2016-02-04,556.3,558.9,532.8,538.35,2150300,538.35
2016-02-05,542.25,575,537.05,566.6,2792900,566.6
2016-02-08,570,577.7,560,562.85,1605200,562.85
2016-02-09,545.5,555.95,535.3,539.8,1622400,539.8
2016-02-10,535.3,553.15,534,539.3,2261500,539.3
2016-02-11,537.65,540,488.85,495.65,2143500,495.65
2016-02-12,498.1,509,469.15,498.2,2591300,498.2
2016-02-15,510,530,510,524.75,1156300,524.75
2016-02-16,531,533,484.8,491.2,2136300,491.2
2016-02-17,494.7,508.4,486.2,502.4,1952900,502.4
2016-02-18,510.05,514.4,489.25,498.95,1280500,498.95
2016-02-19,495,502.5,491.25,496.85,647300,496.85
2016-02-22,500,508.3,492.3,498.3,1251300,498.3
2016-02-23,501,501,489.1,492.3,1007000,492.3
2016-02-24,490,501.4,486.6,491.1,1364900,491.1
2016-02-25,493.6,494.8,479.1,481.15,1822900,481.15
2016-02-26,484.8,488.25,466,469.9,1739400,469.9
2016-02-29,472.7,493.2,457.7,483.15,2233700,483.15
2016-03-01,486,507.7,486,504.55,1862700,504.55
2016-03-02,511.9,541.95,511.9,536.35,2858100,536.35
2016-03-03,536.95,538,516.1,519.85,1455400,519.85
2016-03-04,520,534,511.6,530.5,1690100,530.5
2016-03-07,530.5,530.5,530.5,530.5,0,530.5
2016-03-08,530.5,542.7,522.55,526.55,1610400,526.55
2016-03-09,522.7,529,519,523.85,1315300,523.85
2016-03-10,525.3,536.9,524.4,531.3,1342100,531.3
2016-03-11,531.3,537,520.2,527,842200,527
2016-03-14,531.9,543.25,530.75,537.8,1126300,537.8
2016-03-15,536,538.85,519.95,522.75,673400,522.75
2016-03-16,526.4,528.1,509,522.85,1180800,522.85
