"Date","ONGC.NS.Open","ONGC.NS.High","ONGC.NS.Low","ONGC.NS.Close","ONGC.NS.Volume","ONGC.NS.Adjusted"
2016-05-17,205.6005,211.9995,205.0995,210.2505,14657400,132.4811
2016-05-18,210.3,215.2995,209.5995,214.2495,8832200,135.0009
2016-05-19,213,213.2505,209.2005,210.0495,6740300,132.3545
2016-05-20,211.8,214.65,210.45,213.1005,4576900,134.2769
2016-05-23,214.2,214.5,207.4995,208.1505,5845600,131.1579
2016-05-24,208.5,208.6995,204.5505,206.6505,4087500,130.2127
2016-05-25,208.6995,210.75,208.1505,210.15,3108400,132.4178
2016-05-26,211.0005,221.1495,210.7005,216.0495,13519800,136.1351
2016-05-27,217.9995,218.8995,211.8,213,10044000,134.2136
2016-05-30,214.0005,215.7,213,213.45,4589100,134.4972
2016-05-31,214.9995,215.5005,209.8005,210.75,8791200,132.7959
2016-06-01,211.3995,213.3,210.1005,210.6495,4521800,132.7325
2016-06-02,210.4995,213.8505,209.1495,212.8005,4079500,134.0879
2016-06-03,213.7995,214.5,211.0995,211.8495,4345900,133.4887
2016-06-06,212.7,213.3495,210.3,210.7995,3665300,132.8271
2016-06-07,211.9995,213.9495,211.7505,212.9505,5568400,134.1824
2016-06-08,214.5,217.2495,214.0005,215.7495,5491900,135.9461
2016-06-09,217.05,222.3,217.0005,220.65,10532600,139.034
2016-06-10,220.0005,222.7005,217.0005,218.2005,4451900,137.4905
2016-06-13,216,216.4005,212.5005,213.2505,2914800,134.3715
2016-06-14,213.9495,214.8,211.2,212.8005,3050000,134.0879
2016-06-15,213.3,214.5,212.55,213.7005,2865500,134.655
2016-06-16,213,213.0495,210.5505,211.6995,3296100,133.3941
2016-06-17,212.6505,212.7495,210.1995,210.75,4717600,132.7959
2016-06-20,210.6495,215.25,210.3495,213.8505,5253300,134.7495
2016-06-21,215.8005,218.2005,214.9995,217.5495,4754000,137.0803
2016-06-22,217.4505,219.4005,216,218.3505,4300100,137.585
2016-06-23,217.9995,219.5505,214.2,218.5005,4451100,137.6795
2016-06-24,213.6,213.9,207,209.4,6098500,131.9452
2016-06-27,208.0005,212.3505,207.7005,210.15,3541800,132.4178
2016-06-28,210,211.8495,209.5005,211.35,3242200,133.1739
2016-06-29,212.7495,215.1495,212.1,214.7505,3248800,135.3166
2016-06-30,215.8005,219.4995,214.9995,216.3,7536600,136.293
2016-07-01,216.9,229.8,216.45,225,8428400,141.7749
2016-07-04,229.5,235.3005,229.5,232.05,16861300,146.2172
2016-07-05,230.5995,236.4,228.5505,230.7495,6551500,145.3978
2016-07-06,230.7495,230.7495,230.7495,230.7495,0,145.3978
2016-07-07,230.7495,231.8505,226.1505,226.6005,5971800,142.7834
2016-07-08,225,225.3,222.2505,223.3005,3248200,140.7041
2016-07-11,225,227.5995,223.5495,225,6210100,141.7749
2016-07-12,225.1005,229.4505,225.1005,227.8995,4319600,143.6019
2016-07-13,233.6505,241.5495,232.1505,234.15,17397400,147.5405
2016-07-14,234.4005,234.75,229.0995,230.55,9416400,145.2721
2016-07-15,231.1005,232.3005,228.5505,230.25,8673300,145.083
2016-07-18,229.0005,229.0005,217.0995,218.5995,11088200,137.7419
