"Date","PTC.NS.Open","PTC.NS.High","PTC.NS.Low","PTC.NS.Close","PTC.NS.Volume","PTC.NS.Adjusted"
2016-05-02,64.05,64.85,63.6,64.35,609500,62.39
2016-05-03,65,65.4,62.8,63.45,879000,61.52
2016-05-04,63.05,64.1,62,62.25,670900,60.36
2016-05-05,62.25,62.6,61.4,61.75,772700,59.87
2016-05-06,61.55,62.55,61.35,62.35,358600,60.45
2016-05-09,62.9,63.95,62.65,63.6,432900,61.66
2016-05-10,64,65.65,63.5,65.2,915500,63.22
2016-05-11,64.5,65.65,63.65,64,1414700,62.05
2016-05-12,64.25,65.35,63.3,64.85,1319200,62.88
2016-05-13,64.9,65.5,64.3,64.9,568300,62.92
2016-05-16,65.3,65.4,64.15,65.1,636800,63.12
2016-05-17,65.45,65.5,64.6,64.85,433100,62.88
2016-05-18,64.95,66.1,64.4,65.45,1228400,63.46
2016-05-19,66,69.4,65.5,68,5006200,65.93
2016-05-20,68.3,68.95,66.65,67,1761800,64.96
2016-05-23,67,67.7,66.4,66.65,1034100,64.62
2016-05-24,66.8,67.4,65.75,66.8,1322400,64.77
2016-05-25,67.2,69,67.1,67.7,1386600,65.64
2016-05-26,67.1,70,67.1,69,4256300,66.9
2016-05-27,69,69.95,68,68.45,1220300,66.37
2016-05-30,68.5,70.4,68.5,69.1,766100,67
2016-05-31,68.75,69.4,67.85,68.4,639900,66.32
2016-06-01,68.4,69.3,67.2,67.45,384800,65.4
2016-06-02,67.1,68.4,65.85,68.25,756200,66.17
2016-06-03,68.35,69.35,67.95,68.25,1036600,66.17
2016-06-06,68.25,74.2,67.7,72.9,6576500,70.68
2016-06-07,73.85,74.8,72.15,72.7,2412400,70.49
2016-06-08,72.45,74.1,72.1,73.25,2697700,71.02
2016-06-09,73.85,73.95,71.65,72.1,1472500,69.91
2016-06-10,72.15,73.6,71.7,72.15,1104700,69.95
2016-06-13,71.5,71.85,70.65,71.4,1044000,69.23
2016-06-14,71.2,73,71.2,72.45,1296600,70.25
2016-06-15,72.6,75.6,72.4,74.55,3424400,72.28
2016-06-16,75.35,76.5,73.9,75.6,2667200,73.3
2016-06-17,76.15,76.95,74.35,75,1636600,72.72
2016-06-20,74.7,75.7,74.05,75.2,963000,72.91
2016-06-21,75,77.6,75,76.85,2030000,74.51
2016-06-22,77,77,74.45,74.8,1553100,72.52
2016-06-23,74.95,75.1,72.8,73.15,1451100,70.92
2016-06-24,71,72.5,68.5,72.25,1783900,70.05
2016-06-27,72,73.85,71.55,73.4,931800,71.17
2016-06-28,72.65,74.5,72.65,73.95,847000,71.7
2016-06-29,74.05,75.75,74.05,75.35,1111700,73.06
2016-06-30,75.5,78,74.6,77.05,5062300,74.71
2016-07-01,77.75,78.4,76.7,77.25,1034800,74.9
2016-07-04,77.25,79.55,77.25,78.6,1386200,76.21
2016-07-05,78.4,80.1,78,78.55,1178500,76.16
2016-07-06,78.55,78.55,78.55,78.55,0,76.16
2016-07-07,78.55,82,78.55,80.65,2459700,78.2
2016-07-08,82.15,82.65,79.6,79.9,3063300,77.47
2016-07-11,81,81.2,79.6,80.2,1011800,77.76
2016-07-12,80.25,80.75,78.3,79.3,1558200,76.89
2016-07-13,79.35,80.85,78.15,78.45,1253200,76.06
2016-07-14,79,79.6,78.15,78.95,841900,76.55
2016-07-15,79.1,82,78.15,79.5,1770000,77.08
2016-07-18,79.3,81.45,78.7,79.3,1012200,76.89
2016-07-19,79.4,80.9,78.3,78.75,1415200,76.35
2016-07-20,78.75,79.8,77.95,79.15,1293000,76.74
2016-07-21,79,83.65,78.6,80.5,3714300,78.05
2016-07-22,80.95,83.5,80.35,82.3,2817800,79.8
2016-07-25,82.55,83.95,81.35,83.05,3618300,80.52
2016-07-26,83.7,83.7,80.7,81.15,767000,78.68
2016-07-27,81.3,82.25,79.45,80.7,1279800,78.24
2016-07-28,81.25,83.6,80.6,81.15,3974900,78.68
2016-07-29,81.5,82.15,78.6,79.1,2283200,76.69
2016-08-01,79.7,81.7,79.7,79.95,2614000,77.52
2016-08-02,80.1,81,78.4,78.95,1016900,76.55
2016-08-03,78.95,78.95,76.3,76.5,1372500,74.17
2016-08-04,77.15,78,76.1,77.6,1144500,75.24
2016-08-05,78,79.05,77,78.45,1677700,76.06
2016-08-08,79.6,80.95,78.7,79.55,2089300,77.13
2016-08-09,80,80.7,78.6,79.75,1882600,77.32
2016-08-10,79.8,80.1,76.65,77.2,1178300,74.85
2016-08-11,77.35,77.9,75.1,77.2,1850100,74.85
2016-08-12,77.75,79.3,77.1,77.7,2337200,75.34
2016-08-15,77.7,77.7,77.7,77.7,0,75.34
2016-08-16,77.95,78.65,76.85,77.65,1127900,75.29
2016-08-17,78,78.15,76.2,77.55,1634600,75.19
2016-08-18,77.55,78.25,76.75,77.25,2722400,74.9
2016-08-19,77.45,77.8,76.65,76.95,1509700,74.61
2016-08-22,77.1,77.75,76.5,76.9,943200,74.56
2016-08-23,77,78.35,76.7,77.8,766800,75.43
2016-08-24,77.5,79.3,77.25,79,1096900,76.6
2016-08-25,79.45,79.7,78.2,78.95,2439600,76.55
2016-08-26,79.3,79.8,78.5,79.1,1154100,76.69
2016-08-29,79,79.3,78.1,78.8,473600,76.4
2016-08-30,78.65,81.7,78.65,81.1,3384000,78.63
2016-08-31,81.5,84.9,81.25,84.2,3792900,81.64
2016-09-01,84.9,84.95,82.25,83.05,1145100,80.52
2016-09-02,83.35,85.35,82.3,84.6,1305700,82.03
2016-09-05,84.6,84.6,84.6,84.6,0,82.03
2016-09-06,84.95,86,84.15,85.6,1023600,83
2016-09-07,86.2,87.55,84.9,86.35,1715200,83.72
2016-09-08,86.7,86.7,85.1,85.55,1027100,82.95
2016-09-09,85.45,85.95,83.7,84.75,1515300,82.17
2016-09-12,83.85,83.85,81.8,82.15,1292200,79.65
2016-09-13,82.15,82.15,82.15,82.15,0,79.65
2016-09-14,80,81.75,78.8,81.15,1415300,81.15
2016-09-15,81.35,81.8,79.2,79.7,524500,79.7
2016-09-16,80,81,78.1,78.75,1490200,78.75
2016-09-19,79,79.95,78.4,79.25,483900,79.25
2016-09-20,79.25,79.7,78,78.5,589900,78.5
2016-09-21,78.95,81.65,77.75,79.85,1648400,79.85
2016-09-22,80.55,81.45,79.5,79.95,949600,79.95
2016-09-23,80.3,80.8,79.45,79.75,477900,79.75
2016-09-26,79.75,80.1,78.1,78.75,708200,78.75
2016-09-27,78.8,79.65,77.6,77.9,543900,77.9
2016-09-28,77.5,78.9,77.25,78.1,752900,78.1
2016-09-29,79,79.2,71.5,72.25,2149000,72.25
2016-09-30,72.3,75.5,71.8,74.45,758300,74.45
2016-10-03,75.1,76.35,74.5,75.55,1067800,75.55
2016-10-04,75.7,76.3,75,75.9,538900,75.9
