"Date","OIL.NS.Open","OIL.NS.High","OIL.NS.Low","OIL.NS.Close","OIL.NS.Volume","OIL.NS.Adjusted"
2016-03-07,308.999,308.999,308.999,308.999,0,219.319
2016-03-08,311.999,317.449,309.999,311.299,487100,220.951
2016-03-09,308.999,312.999,307.199,309.749,358200,219.851
2016-03-10,312.999,314.499,308.599,309.599,1127000,219.745
2016-03-11,311.999,312.899,309.799,310.899,375400,220.667
2016-03-14,311.899,314.399,308.999,309.949,261100,219.993
2016-03-15,309.349,310.849,306.999,308.15,308100,218.716
2016-03-16,308.449,309.999,301.05,303.349,976700,215.308
2016-03-17,306.999,309.499,305.25,306.25,925200,217.367
2016-03-18,307.899,314.599,307.699,313.349,761400,222.406
2016-03-21,313.499,319.999,312.15,317.65,715900,225.459
2016-03-22,317.05,321.899,315.499,317.399,731300,225.281
2016-03-23,317.05,318.799,314.299,317.099,324000,225.068
2016-03-24,317.099,317.099,317.099,317.099,0,225.068
2016-03-25,317.099,317.099,317.099,317.099,0,225.068
2016-03-28,317.899,317.999,312.399,315.05,349900,223.613
2016-03-29,314.899,315.05,308.449,312.55,198200,221.839
2016-03-30,312.65,316.499,310.599,315.099,430800,223.648
2016-03-31,315.099,315.099,310.999,312.999,403800,222.158
2016-04-01,314.399,317.299,312.55,316.299,187100,224.5
2016-04-04,320.949,320.949,313.999,314.749,372700,223.399
2016-04-05,312.499,315.899,311.999,313.699,1085200,222.655
2016-04-06,313.499,323.55,310.999,318.699,789100,226.204
2016-04-07,320.999,323.499,316.099,318.05,317000,225.743
2016-04-08,316.999,318.899,316.199,317.15,60100,225.104
2016-04-11,318.999,321.099,315.999,317.499,183500,225.352
2016-04-12,318.749,320.449,316.099,318.05,515100,225.743
2016-04-13,320.999,322.849,318.899,319.65,1435600,226.878
2016-04-14,319.65,319.65,319.65,319.65,0,226.878
2016-04-15,319.65,319.65,319.65,319.65,0,226.878
2016-04-18,317.699,317.699,312.199,313.449,546400,222.477
2016-04-19,313.449,313.449,313.449,313.449,0,222.477
2016-04-20,314.999,315.799,312.999,313.899,388100,222.797
2016-04-21,317.949,318.999,315.55,317.05,357600,225.033
2016-04-22,317.699,318.65,315.999,316.999,583900,224.997
2016-04-25,319.099,319.199,313.999,315.999,548200,224.287
2016-04-26,315.999,319.999,315.05,318.899,227600,226.345
2016-04-27,318.899,332.25,318.099,327.899,1150900,232.733
2016-04-28,328.55,333.449,328.55,330.799,961300,234.792
