"Date","RELCAPITAL.NS.Open","RELCAPITAL.NS.High","RELCAPITAL.NS.Low","RELCAPITAL.NS.Close","RELCAPITAL.NS.Volume","RELCAPITAL.NS.Adjusted"
2016-04-15,392.05,392.05,392.05,392.05,0,385.29
2016-04-18,390,392,381.2,386.45,2262000,379.78
2016-04-19,386.45,386.45,386.45,386.45,0,379.78
2016-04-20,388.45,392.9,381.55,383.1,4622200,376.49
2016-04-21,386.7,395.4,374.25,389.85,5143700,383.12
2016-04-22,387,407,386.1,400.85,5778900,393.94
2016-04-25,401,406.75,396,401.35,2882100,394.43
2016-04-26,401.95,411.55,399.5,408.2,3208600,401.16
2016-04-27,409.45,410.7,402.3,403.9,2827600,396.93
2016-04-28,404,408.1,393.3,394.55,2524900,387.74
2016-04-29,388,409.3,386.5,404.55,3923500,397.57
2016-05-02,403.95,407.95,400.2,402.55,2265400,395.61
2016-05-03,404.6,413.6,394,396.65,4251400,389.81
2016-05-04,394.7,396.2,379,380.8,3045100,374.23
2016-05-05,382.15,386.9,377.2,382.55,2438000,375.95
2016-05-06,382,387.35,378.2,383.95,2221000,377.33
2016-05-09,389,410.9,385.8,409.6,5529100,402.53
2016-05-10,410,414.7,405,410,3911700,402.93
2016-05-11,401.6,411.7,398.3,405.9,3310900,398.9
2016-05-12,407.95,409.9,402.4,408.2,2133400,401.16
2016-05-13,407,408.9,391.7,394.95,3054700,388.14
2016-05-16,397.4,405.75,393,404.6,2650400,397.62
2016-05-17,406.65,411.5,401.85,405.65,2473800,398.65
2016-05-18,403.95,407.4,400.4,405.7,1914600,398.7
2016-05-19,404.25,408.8,391.65,392.75,2195800,385.97
2016-05-20,394.4,396,388.35,389.9,2301000,383.17
2016-05-23,393.45,394.1,384.55,387.95,2046700,381.26
2016-05-24,388.6,391.7,380.25,385.45,2403400,378.8
2016-05-25,390,398.5,389.8,396.45,1891300,389.61
2016-05-26,398,402.8,392.55,401.55,2322400,394.62
2016-05-27,401.5,422,399.35,414,4565800,406.86
2016-05-30,417.75,420.9,412.1,414.3,2440200,407.15
2016-05-31,415.3,415.95,407.5,410.9,2593500,403.81
2016-06-01,412.8,420.5,400.25,402.6,3722600,395.66
2016-06-02,401.9,405.8,395.65,404.75,3189700,397.77
2016-06-03,406.8,409.4,398.75,401.5,2471600,394.57
2016-06-06,403.75,407.9,399.5,405.5,1770200,398.51
2016-06-07,407.55,412.8,401.3,411.25,2370200,404.16
2016-06-08,410.25,416.8,407.8,410.2,2601600,403.12
2016-06-09,412,414,403.1,406.8,2688300,399.78
2016-06-10,407.5,410.9,401.5,403.5,2334500,396.54
2016-06-13,398.75,399,390.5,393.95,1706300,387.15
2016-06-14,395.4,401.3,393.4,398.15,1832900,391.28
2016-06-15,400.15,402,393.05,400.05,1786700,393.15
2016-06-16,399.65,403,388.6,394.2,2633300,387.4
2016-06-17,397.7,401,392.7,395.7,2369500,388.87
2016-06-20,393,402.85,391.25,402.15,1748900,395.21
2016-06-21,404.1,404.1,397.5,399.5,2238600,392.61
2016-06-22,400,402.3,391.5,393.25,2266500,386.47
2016-06-23,394,396.45,389.2,394.1,1567200,387.3
2016-06-24,383.9,383.9,365.15,376.45,3434100,369.96
2016-06-27,371.95,384.2,371.9,382.45,1937700,375.85
