"Date","GAIL.NS.Open","GAIL.NS.High","GAIL.NS.Low","GAIL.NS.Close","GAIL.NS.Volume","GAIL.NS.Adjusted"
2015-10-09,307.099,312.699,306.999,311.599,470800,223.678
2015-10-12,309.999,319.849,308.199,318.899,1122000,228.918
2015-10-13,318.899,321.599,311.999,315.349,1071500,226.369
2015-10-14,315.899,321.55,313.599,316.849,709400,227.446
2015-10-15,317.999,326.799,316.449,324.849,1325400,233.189
2015-10-16,325.799,326.799,321.199,325.899,558000,233.943
2015-10-19,325.899,329.999,322.199,325.749,966300,233.835
2015-10-20,325.999,328.749,324.15,325.499,867900,233.656
2015-10-21,325.299,327.499,316.05,319.05,868400,229.026
2015-10-22,319.05,319.05,319.05,319.05,0,229.026
2015-10-23,321.999,329.849,321.599,326.25,1096600,234.195
2015-10-26,325.999,331.65,322.849,329.05,899300,236.204
2015-10-27,325.999,331.099,316.099,318.65,1956600,228.739
2015-10-28,320.25,323.55,315.25,317.099,1951500,227.626
2015-10-29,319.999,326.749,305.999,312.999,3075200,224.683
2015-10-30,313.599,316.999,305.499,308.449,1315600,221.416
2015-11-02,309.999,311.999,299.999,310.55,1277800,222.925
2015-11-03,311.15,315.349,299.999,307.15,1398700,220.484
2015-11-04,297.999,306.599,296.999,300.699,2033800,215.853
2015-11-05,300.899,304.499,293.099,294.799,1022900,211.618
2015-11-06,294.499,295.949,285.349,288.15,1167700,206.845
2015-11-09,282.899,287.55,281.299,283.55,805500,203.543
2015-11-10,281.999,284.099,276.15,281.099,1298700,201.784
2015-11-11,281.099,281.099,281.099,281.099,0,201.784
2015-11-12,281.099,281.099,281.099,281.099,0,201.784
2015-11-13,279.999,283.65,279.099,281.999,1165100,202.43
2015-11-16,281.499,295.999,277.05,294.65,2166500,211.511
2015-11-17,294.999,307.999,293.099,306.099,1683700,219.73
2015-11-18,305.949,312.499,302.999,308.899,1832100,221.74
2015-11-19,307.999,319.599,304.299,317.899,1878200,228.2
2015-11-20,323.499,359.899,323.499,349.55,12352800,250.92
2015-11-23,349.799,367.699,343.999,361.899,6440400,259.785
2015-11-24,362.499,362.499,354.148,355.799,3792700,255.406
2015-11-25,355.799,355.799,355.799,355.799,0,255.406
2015-11-26,356.05,369.948,352.55,367.799,5446200,264.02
2015-11-27,367.299,370.799,361.199,368.35,2395100,264.415
2015-11-30,365.05,369.999,360.948,362.699,3045100,260.359
2015-12-01,363.999,368.25,356.499,358.799,2242800,257.56
2015-12-02,359.999,364.899,358.199,360.448,1170400,258.744
2015-12-03,359.399,363.748,354.748,357.85,1406500,256.878
2015-12-04,353.25,361.999,351.35,356.05,1967400,255.586
2015-12-07,356.499,362.85,353.199,357.799,1229200,256.842
2015-12-08,356.999,357.799,337.999,339.599,2975100,243.777
2015-12-09,339.599,342.599,333.699,336.799,2159500,241.767
2015-12-10,336.848,347.499,335.799,343.648,2297000,246.684
2015-12-11,343.648,348.55,335.748,338.699,1696000,243.131
2015-12-14,335.748,343.899,334.949,340.348,1112100,244.315
2015-12-15,339.199,343.748,337.299,340.748,1422400,244.602
2015-12-16,340.599,359.499,339.599,343.948,3289200,246.899
2015-12-17,346.25,353.599,341.499,343.35,2871000,246.47
2015-12-18,342.999,346.299,338.15,339.65,1695900,243.814
2015-12-21,339.65,343.499,335.449,336.348,1106500,241.444
2015-12-22,338.599,341.999,333.599,338.399,1796500,242.916
2015-12-23,342.148,360.399,342.099,358.448,4002400,257.308
2015-12-24,359.999,363.999,359.099,362.199,1793100,260
2015-12-25,362.199,362.199,362.199,362.199,0,260
2015-12-28,363.099,372.599,359.699,361.948,2708800,259.82
2015-12-29,362.099,370.25,361.948,366.05,2132700,262.764
2015-12-30,367.448,371.948,363.35,368.148,2072000,264.271
2015-12-31,367.699,377.899,364.648,375.099,4497500,269.26
2016-01-01,374.748,377.199,368.199,369.748,1027200,265.419
2016-01-04,369.748,374.948,358.55,359.799,1257400,258.277
2016-01-05,361.699,374.499,361.599,372.25,2242500,267.215
2016-01-06,371.948,380.999,367.999,372.699,3159100,267.538
2016-01-07,366.499,374.948,365.85,370.599,2476800,266.03
2016-01-08,376.35,376.35,371.148,373.199,1165300,267.896
2016-01-11,371.699,374.799,366.199,369.299,1335900,265.097
2016-01-12,369.299,373.999,364.999,365.85,1382500,262.621
2016-01-13,367.55,374.499,358.599,362.899,1402200,260.503
2016-01-14,360.799,364.999,354.299,357.55,1220900,256.663
2016-01-15,357.099,357.399,333.599,335.848,2835200,241.085
2016-01-18,334.999,351.148,329.099,339.449,2338700,243.669
2016-01-19,340.299,349.199,337.599,342.948,991500,246.181
2016-01-20,340.399,348.499,332.999,338.699,1647800,243.131
2016-01-21,342.999,349.799,336.299,340.499,1297200,244.423
2016-01-22,347.199,372.999,342.499,366.948,3144400,263.41
2016-01-25,369.199,371.899,353.748,356.699,2747900,256.052
2016-01-26,356.699,356.699,356.699,356.699,0,256.052
2016-01-27,356.699,362.699,350.448,358.299,1930500,257.201
2016-01-28,360.148,366.099,350.25,360.999,5312300,259.139
2016-01-29,362.999,372.499,362.05,368.599,1927300,264.594
2016-02-01,367.999,373.199,357.648,368.148,1420000,264.271
2016-02-02,364.999,368.499,359.999,361.699,1650500,259.641
2016-02-03,355.499,362.999,349.099,360.099,1345300,258.493
2016-02-04,362.199,368.399,346.999,354.999,2386800,254.832
2016-02-05,354.05,354.999,338.499,342.55,2340700,245.895
2016-02-08,339.699,355.699,336.199,343.55,2294300,246.613
2016-02-09,341.199,352.999,338.799,348.599,3526400,250.238
2016-02-10,345.999,349.199,337.65,346.05,2326100,248.408
2016-02-11,345.85,350.748,326.799,332.099,2299200,238.393
2016-02-12,332.899,334.848,314.849,324.949,3307000,233.26
2016-02-15,327.399,335.949,326.05,334.15,2330300,239.865
2016-02-16,334.099,338.848,321.25,322.55,1330200,233.872
2016-02-17,322.999,326.349,307.849,324.15,1936400,235.032
2016-02-18,326.799,329.999,319.15,323.399,1865100,234.487
2016-02-19,321.999,326.949,314.05,325.849,694400,236.263
2016-02-22,324.999,329.949,318.15,321.399,905700,233.037
2016-02-23,321.699,324.999,315.699,316.999,1097200,229.847
2016-02-24,314.999,319.999,310.499,313.749,2191200,227.49
2016-02-25,314.999,315.699,302.499,305.05,3200600,221.183
2016-02-26,307.999,309.999,297.899,304.099,1652000,220.494
2016-02-29,304.099,311.799,290.299,305.15,3761300,221.255
2016-03-01,306.499,323.499,303.699,321.099,3417300,232.82
2016-03-02,322.999,329.449,317.999,324.399,1343200,235.212
2016-03-03,321.949,348.85,315.999,339.748,3130200,246.342
2016-03-04,336.999,343.999,331.799,340.999,1074700,247.249
2016-03-07,340.999,340.999,340.999,340.999,0,247.249
2016-03-08,337.999,352.999,337.999,349.599,1387200,253.484
2016-03-09,350.499,356.399,347.148,349.55,1454100,253.448
2016-03-10,349.899,353.199,339.999,341.648,1349800,247.719
2016-03-11,341.648,344.999,336.55,339.449,2006000,246.124
2016-03-14,341.299,349.499,339.999,343.148,1312100,248.807
2016-03-15,341.599,347.299,336.55,340.65,1625100,246.995
2016-03-16,338.499,344.899,332.25,339.699,905900,246.306
2016-03-17,346.05,360.55,344.25,353.299,3381000,256.167
2016-03-18,354.999,366.799,352.499,364.35,4832900,264.179
2016-03-21,367.148,368.499,360.099,363.399,1860400,263.49
2016-03-22,362.948,367.099,359.699,361.05,1166700,261.787
2016-03-23,361.648,363.999,354.748,356.099,1173700,258.197
2016-03-24,356.099,356.099,356.099,356.099,0,258.197
2016-03-25,356.099,356.099,356.099,356.099,0,258.197
2016-03-28,355.999,361.999,355.999,357.748,2173300,259.393
2016-03-29,357.399,361.899,345.299,347.799,2492700,252.179
2016-03-30,352.399,360.399,350.399,359.448,1988500,260.626
2016-03-31,359.448,361.699,352.399,356.399,2947700,258.415
2016-04-01,354.648,355.699,346.299,347.699,1562300,252.107
2016-04-04,350.399,351.999,345.999,348.199,1142100,252.469
2016-04-05,345.05,348.499,338.099,339.55,1550400,246.198
2016-04-06,340.499,344.999,334.899,341.399,1512800,247.539
2016-04-07,344.099,344.748,339.299,341.05,1495200,247.285
2016-04-08,340.999,349.499,336.748,347.35,1002900,251.853
2016-04-11,349.948,353.699,343.55,351.948,1321900,255.188
2016-04-12,351.948,367.499,350.148,366.35,1601300,265.63
2016-04-13,371.899,372.55,361.499,369.55,2701800,267.95
2016-04-14,369.55,369.55,369.55,369.55,0,267.95
2016-04-15,369.55,369.55,369.55,369.55,0,267.95
2016-04-18,365.448,368.299,357.599,359.448,1518400,260.626
2016-04-19,359.448,359.448,359.448,359.448,0,260.626
2016-04-20,359.448,370.499,358.25,367.648,2689800,266.571
2016-04-21,368.999,374.399,365.399,369.399,2266000,267.841
2016-04-22,368.55,370.948,364.999,366.699,890300,265.883
2016-04-25,368.999,369.399,357.699,360.148,926400,261.133
2016-04-26,357.199,368.099,353.799,362.999,1970600,263.2
2016-04-27,362.148,374.25,356.448,373.199,2572800,270.596
2016-04-28,375.499,376.699,361.599,363.199,2994400,263.345
2016-04-29,363.199,366.499,355.448,360.35,953400,261.279
2016-05-02,359.999,369.699,356.55,367.599,1402600,266.535
2016-05-03,367.999,369.899,361.999,364.299,1688200,264.143
2016-05-04,362.999,371.599,361.448,365.948,1671500,265.339
2016-05-05,365.948,369.999,362.999,365.748,1071700,265.194
2016-05-06,363.748,386.899,362.25,383.85,4399200,278.318
2016-05-09,386.948,389.399,384.599,385.948,2460600,279.84
2016-05-10,386.999,394.399,380.399,391.499,1682200,283.865
2016-05-11,387.899,389.999,383.25,386.999,1426800,280.602
2016-05-12,384.999,394.599,384.999,387.85,1123600,281.219
2016-05-13,385.999,387.299,375.299,379.599,1348700,275.236
2016-05-16,380.099,382.399,371.099,377.35,1094400,273.605
2016-05-17,379.999,386.999,377.899,383.899,1694500,278.354
2016-05-18,381.999,387.999,377.999,382.35,1344600,277.231
2016-05-19,381.899,382.299,369.999,372.399,1452200,270.016
2016-05-20,373.999,377.099,369.999,371.55,1036200,269.4
2016-05-23,374.648,379.999,367.999,370.748,1072600,268.819
2016-05-24,370.748,375.999,365.699,370.899,1856300,268.928
2016-05-25,372.999,383.999,372.999,381.55,2297100,276.651
2016-05-26,385.399,389.85,378.299,380.199,3965900,275.671
2016-05-27,381.699,385.948,377.799,379.299,1732300,275.019
2016-05-30,382.448,384.799,377.099,379.85,2829700,275.418
2016-05-31,380.05,380.499,367.448,370.448,10753200,268.601
2016-06-01,370.448,374.999,368.599,372.499,1443800,270.088
2016-06-02,369.499,377.35,366.148,375.699,1333000,272.408
2016-06-03,374.948,377.699,368.799,370.25,2286400,268.457
2016-06-06,368.25,377.699,368.25,374.448,2243700,271.502
2016-06-07,375.35,377.55,372.399,374.448,1622500,271.502
2016-06-08,374.448,378.799,371.148,374.699,966200,271.683
2016-06-09,374.948,379.448,372.948,375.948,1734700,272.589
2016-06-10,376.448,380.599,366.799,368.948,1894000,267.514
2016-06-13,365.448,376.199,364.05,371.448,2055700,269.326
2016-06-14,375.999,377.999,370.85,373.099,2021100,270.523
2016-06-15,375.148,379.499,373.648,377.25,1911900,273.533
2016-06-16,376.499,383.599,375.05,382.35,3170100,277.231
2016-06-17,385.499,388.099,383.499,387.25,3075600,280.784
2016-06-20,387.25,391.35,383.35,386.05,1740700,279.913
2016-06-21,388.999,392.099,377.099,382.55,2269700,277.376
2016-06-22,384.499,384.799,373.448,374.799,1418700,271.756
2016-06-23,373.999,376.799,370.699,375.55,1668400,272.3
2016-06-24,370.999,378.748,361.599,377.148,1534400,273.459
2016-06-27,376.85,382.748,374.099,379.948,1332900,275.49
2016-06-28,380.35,382.699,375.35,376.899,1182600,273.279
2016-06-29,375.999,386.948,374.55,385.25,1809200,279.333
2016-06-30,389.25,390.05,381.799,385.148,2818100,279.26
2016-07-01,387.999,396.85,385.999,395.35,3120300,286.657
2016-07-04,397.999,402.699,392.85,396.799,3412700,287.707
2016-07-05,396.999,397.899,385.599,386.55,2995900,280.276
2016-07-06,386.55,386.55,386.55,386.55,0,280.276
2016-07-07,387.448,390.999,383.799,384.799,2041800,279.007
2016-07-08,383.499,384.899,374.55,375.499,1708500,272.263
2016-07-11,379.25,384.699,377.999,378.648,1935000,274.547
2016-07-12,378.099,382.399,376.55,378.25,2792500,274.258
2016-07-13,384.999,392.999,378.85,391.85,3542600,284.119
2016-07-14,395.799,398.999,393.35,396.099,3770700,287.2
2016-07-15,395.099,397.499,389.999,393.748,996000,285.496
2016-07-18,392.999,399.199,385.499,386.148,1042400,279.985
2016-07-19,387.05,391.299,380.35,385.748,1625600,279.695
2016-07-20,387.999,396.299,387.35,395.399,1344000,286.692
2016-07-21,395.799,400.999,388.85,390.799,834900,283.357
2016-07-22,390.999,402.799,390.999,394.748,1837100,286.221
2016-07-25,396.099,398.499,390.199,391.648,1740600,283.973
2016-07-26,394.999,397.499,384.55,385.599,1629000,279.587
2016-07-27,386.499,393.199,382.55,384.85,1578300,279.043
2016-07-28,386.699,388.199,382.05,383.799,3232400,278.282
2016-07-29,383.499,387.25,380.25,381.748,1176700,276.795
2016-08-01,381.999,386.499,378.299,379.999,1700100,275.526
2016-08-02,379.899,381.899,374.099,376.25,1475300,272.808
2016-08-03,375.948,378.199,370.499,372.399,1147700,270.016
2016-08-04,373.199,378.299,371.999,373.899,1270500,271.103
2016-08-05,376.448,383.699,374.399,382.55,1879800,277.376
2016-08-08,382.399,387.299,380.999,381.948,1240900,276.94
2016-08-09,382.899,383.85,377.599,379.25,1270400,274.983
2016-08-10,377.999,378.499,372.499,373.948,832200,271.139
2016-08-11,373.699,374.55,369.599,370.899,1028900,268.928
2016-08-12,371.25,377.499,371.148,374.148,1076400,271.284
2016-08-15,374.148,374.148,374.148,374.148,0,271.284
2016-08-16,373.748,376.55,368.299,371.499,989500,269.363
2016-08-17,370.099,371.599,366.999,368.099,1765100,266.898
2016-08-18,368.899,369.499,364.55,365.499,2280800,265.013
2016-08-19,365.599,368.999,362.25,363.85,4463300,263.817
2016-08-22,364.699,367.599,362.85,364.299,2686600,264.143
2016-08-23,365.499,370.499,363.55,366.948,3155100,266.064
2016-08-24,366.999,368.25,364.25,365.55,3763700,265.05
2016-08-25,367.899,374.999,364.499,373.099,7368200,270.523
2016-08-26,373.999,384.999,372.148,378.599,4348100,274.511
2016-08-29,380.899,382.499,375.448,378.199,1244000,274.221
2016-08-30,379.499,389.25,379.199,386.699,2942800,280.384
2016-08-31,387.148,389.799,381.799,383.899,2143900,278.354
2016-09-01,382.999,395.099,382.999,391.748,3259000,284.045
2016-09-02,390.999,396.499,388.499,395.748,1352700,286.946
2016-09-05,395.748,395.748,395.748,395.748,0,286.946
2016-09-06,396.648,405.899,394.25,403.199,3829600,292.348
2016-09-07,405.948,407.699,385.35,395.948,4577500,287.091
2016-09-08,406.999,406.999,386.999,388.748,5392700,284.747
2016-09-09,388.099,398.999,387.999,394.999,5167900,289.325
2016-09-12,389.399,389.799,383.399,386.499,2305400,283.099
2016-09-13,386.499,386.499,386.499,386.499,0,283.099
2016-09-14,385.999,389.999,384.55,385.999,1937800,282.733
2016-09-15,386.55,393.499,384.599,385.448,1763900,282.33
2016-09-16,386.999,395.499,386.999,388.399,3766100,284.491
2016-09-19,388.599,393.999,387.099,388.448,1696000,284.527
2016-09-20,388.799,391.648,384.299,385.05,1902100,282.038
