"Date","PEL.NS.Open","PEL.NS.High","PEL.NS.Low","PEL.NS.Close","PEL.NS.Volume","PEL.NS.Adjusted"
2015-11-03,1005,1029.05,990.5,997.7,209000,979.0971
2015-11-04,1007,1008.4,986,991.3,38800,972.8164
2015-11-05,995,999.95,961.3,972.45,72900,954.3179
2015-11-06,982.8,1017,973.05,1008.3,97500,989.4995
2015-11-09,972,1016,972,989.7,56000,971.2463
2015-11-10,993,1003.45,972.2,976.95,50100,958.734
2015-11-11,995,1002,984.15,998.45,12700,979.8331
2015-11-12,998.45,998.45,998.45,998.45,0,979.8331
2015-11-13,980.6,993,976.35,985.75,100400,967.3699
2015-11-16,986,986,953.2,957.95,126300,940.0883
2015-11-17,962,1013.6,962,996.65,121900,978.0667
2015-11-18,993.65,999.95,978,994.9,34700,976.3494
2015-11-19,999.65,1005,986.4,997.6,100100,978.999
2015-11-20,998.3,999.9,985.3,990,173100,971.5407
2015-11-23,995.6,995.8,975.5,981.8,32100,963.4936
2015-11-24,983.75,990,975.1,983.2,67800,964.8675
2015-11-25,983.2,983.2,983.2,983.2,0,964.8675
2015-11-26,974.05,994,974.05,980.9,69600,962.6104
2015-11-27,980,990.95,959,966.3,123100,948.2826
2015-11-30,967.05,972.85,933.1,950.05,323100,932.3356
2015-12-01,954.9,986.8,954.9,981.05,100300,962.7576
2015-12-02,976.35,982.05,967.1,969.45,134000,951.3739
2015-12-03,970,978.45,956.25,960.2,141700,942.2963
2015-12-04,959.95,959.95,936.55,948.1,126300,930.4219
2015-12-07,948.1,970,948.1,960.8,123100,942.8851
2015-12-08,961.85,961.85,935.5,939.6,39900,922.0804
2015-12-09,940,945.95,918.05,925.05,52300,907.8017
2015-12-10,930,946.95,912.1,917.65,80900,900.5397
2015-12-11,924,931,915.1,920.25,153300,903.0912
2015-12-14,941,941,925,931.05,53300,913.6899
2015-12-15,935.05,945.85,932,942.1,107500,924.5338
2015-12-16,948.4,948.4,931,932.7,36500,915.3091
2015-12-17,942,946,931.25,940,57100,922.473
2015-12-18,943.5,948,931.4,939.35,186500,921.8351
2015-12-21,939,944.45,930,939.65,25800,922.1295
2015-12-22,931,951,931,942.35,39200,924.7791
