"Date","HDFC.NS.Open","HDFC.NS.High","HDFC.NS.Low","HDFC.NS.Close","HDFC.NS.Volume","HDFC.NS.Adjusted"
2015-12-24,1243,1245,1225.4,1229.55,391600,1210.7708
2015-12-25,1229.55,1229.55,1229.55,1229.55,0,1210.7708
2015-12-28,1229.55,1239,1220.2,1227.65,1658300,1208.8998
2015-12-29,1226.55,1239.9,1225.6,1234.3,1716300,1215.4482
2015-12-30,1240,1244.9,1230.65,1233.7,1443400,1214.8573
2015-12-31,1233.9,1274.7,1233.9,1263.75,3215900,1244.4484
2016-01-01,1261,1266.9,1250.65,1258.45,676100,1239.2293
2016-01-04,1250,1253.9,1212.05,1216.7,1995300,1198.117
2016-01-05,1229.9,1233.45,1206.5,1209.4,2325900,1190.9285
2016-01-06,1209.6,1220.75,1202.4,1209.3,2746300,1190.8301
2016-01-07,1198.85,1203.55,1175,1179.45,1780200,1161.4359
2016-01-08,1189.85,1230,1169,1174.4,2467100,1156.4631
2016-01-11,1165,1171,1150.1,1161.55,2288300,1143.8094
2016-01-12,1169.4,1169.4,1146.05,1151.85,1942200,1134.2575
2016-01-13,1157,1173.65,1145.35,1167.65,1830100,1149.8162
2016-01-14,1154.9,1167,1147.15,1159.3,3250300,1141.5937
2016-01-15,1160.7,1167.3,1143.15,1149.8,1890800,1132.2388
2016-01-18,1140,1157.7,1125.1,1131.8,2262700,1114.5138
2016-01-19,1132.9,1157.15,1130.9,1153,1418600,1135.3899
2016-01-20,1140.25,1198.1,1129.15,1136.65,2585000,1119.2897
2016-01-21,1147.05,1147.7,1121.15,1131.1,5451700,1113.8244
2016-01-22,1140,1163.2,1135.2,1158.45,2741400,1140.7566
2016-01-25,1165,1183.4,1155,1174.6,2457300,1156.66
2016-01-26,1174.6,1174.6,1174.6,1174.6,0,1156.66
2016-01-27,1176.4,1188.45,1162,1169.95,2496500,1152.081
2016-01-28,1150,1159.65,1138,1147.75,4077100,1130.2201
2016-01-29,1147.75,1187.75,1145.05,1180,3136300,1161.9775
2016-02-01,1182.4,1193.95,1170.6,1180.05,2136900,1162.0268
2016-02-02,1177.6,1192.85,1166.5,1179.8,2338200,1161.7806
2016-02-03,1174.4,1180.85,1158.4,1160.95,2896700,1143.2184
2016-02-04,1165.25,1177,1163.3,1168.35,1622200,1150.5054
2016-02-05,1169,1186.1,1169,1182.95,1168100,1164.8824
2016-02-08,1185.2,1186,1158.05,1164.1,1497000,1146.3204
2016-02-09,1151.1,1168.65,1140.3,1159.9,1662300,1142.1846
2016-02-10,1155,1156.75,1110.5,1116.55,2964600,1099.4967
2016-02-11,1110.3,1115.1,1058.05,1066.65,3006600,1050.3588
2016-02-12,1079,1097.1,1067.2,1083.75,3490700,1067.1976
2016-02-15,1093.4,1102,1076,1080.45,4217600,1063.9479
2016-02-16,1084.5,1090.45,1063.9,1077.15,3312100,1060.6984
2016-02-17,1078,1085.4,1060.15,1076.3,2237100,1059.8614
2016-02-18,1086.85,1086.85,1062.7,1069.1,3891700,1052.7713
2016-02-19,1065,1065.4,1046.2,1060.85,2939400,1044.6473
2016-02-22,1051,1063.75,1047.85,1058.4,3374600,1042.2348
2016-02-23,1062,1062,1040,1051.1,3253900,1035.0462
2016-02-24,1050.8,1050.8,1018.55,1022.1,4731900,1006.4892
2016-02-25,1022,1049.5,1011.45,1042.65,6122300,1026.7253
2016-02-26,1056.7,1059,1048.35,1053.7,4862400,1037.6065
2016-02-29,1056,1078.5,1022.05,1060.3,5507600,1044.1058
2016-03-01,1072,1073.5,1046.8,1069.45,5690400,1053.116
2016-03-02,1081.95,1107,1077,1099.55,4070200,1082.7563
2016-03-03,1114.7,1135.8,1107.05,1124.15,2754100,1106.9806
2016-03-04,1128,1134.9,1105,1129,1624700,1111.7565
2016-03-07,1129,1129,1129,1129,0,1111.7565
2016-03-08,1120,1150.8,1119,1146.45,3121000,1128.9399
2016-03-09,1144,1145,1106,1128.65,3962800,1111.4118
2016-03-10,1134.8,1157,1123.95,1153.15,4555200,1135.5376
2016-03-11,1159,1167,1146.5,1160.5,2950500,1142.7754
2016-03-14,1168,1175,1146.75,1158.7,1239300,1141.0028
2016-03-15,1144,1148.7,1109.4,1111.35,3897600,1094.376
2016-03-16,1101.1,1128.7,1095.5,1125.95,3068100,1108.753
2016-03-17,1135.55,1152,1104,1108.05,4138700,1091.1265
2016-03-18,1111.4,1133,1104,1129.3,4859500,1112.0519
2016-03-21,1130,1155.85,1128.05,1151.25,3940000,1133.6666
2016-03-22,1142.05,1174,1136,1168.1,3440800,1150.2593
2016-03-23,1162.1,1167.7,1143.65,1162.75,2117300,1144.991
2016-03-24,1162.75,1162.75,1162.75,1162.75,0,1144.991
2016-03-25,1162.75,1162.75,1162.75,1162.75,0,1144.991
2016-03-28,1154.5,1170.25,1137.3,1143.35,3943600,1125.8873
2016-03-29,1135.25,1142,1120.65,1125.75,3752000,1108.5561
2016-03-30,1128.25,1131.35,1110.15,1115.3,4842200,1101.2003
2016-03-31,1111,1118.95,1098,1105.6,9556000,1091.6229
2016-04-01,1100,1117.8,1092.25,1113.4,3894100,1099.3243
2016-04-04,1122.5,1124.25,1095.6,1103.7,3275500,1089.7469
2016-04-05,1102,1111,1085.5,1103.45,4368200,1089.5
2016-04-06,1112.35,1112.35,1091.2,1102.05,2913700,1088.1178
2016-04-07,1100,1100,1065.5,1070.85,4883600,1057.3122
2016-04-08,1071.8,1082.85,1068.15,1079.55,1944600,1065.9023
2016-04-11,1083.95,1084.7,1060.15,1079.8,3737000,1066.1491
2016-04-12,1085,1091.95,1076.05,1090.5,1864100,1076.7138
2016-04-13,1098.1,1117.45,1093.65,1114.95,3361500,1100.8547
2016-04-14,1114.95,1114.95,1114.95,1114.95,0,1100.8547
2016-04-15,1114.95,1114.95,1114.95,1114.95,0,1100.8547
2016-04-18,1130,1139.4,1093.45,1132.4,3916500,1118.0841
2016-04-19,1132.4,1132.4,1132.4,1132.4,0,1118.0841
2016-04-20,1148.7,1158.65,1135,1140,4669600,1125.588
2016-04-21,1145,1157.45,1140.2,1150.1,6522700,1135.5603
2016-04-22,1141,1152.05,1121.95,1131.9,2628300,1117.5904
2016-04-25,1120,1127.5,1106.3,1112,1859400,1097.942
2016-04-26,1104,1131.85,1103.05,1127.3,2511400,1113.0486
2016-04-27,1122.4,1128.5,1113.1,1121.5,1866200,1107.3219
2016-04-28,1121,1126.4,1082.05,1085.55,5791600,1071.8264
2016-04-29,1084.8,1102.25,1074.2,1088.45,4202400,1074.6897
2016-05-02,1091.45,1097,1078.55,1091.9,2394500,1078.0961
2016-05-03,1097,1116.55,1095.05,1099.6,3372800,1085.6987
