"Date","LUPIN.NS.Open","LUPIN.NS.High","LUPIN.NS.Low","LUPIN.NS.Close","LUPIN.NS.Volume","LUPIN.NS.Adjusted"
2015-11-10,1860,1870.9,1774.95,1790.4,782400,1782.507
2015-11-11,1814,1817.2,1792.6,1801.85,85500,1793.906
2015-11-12,1801.85,1801.85,1801.85,1801.85,0,1793.906
2015-11-13,1774.85,1796.4,1760,1777.8,1358800,1769.963
2015-11-16,1788,1826.9,1761,1809.1,765400,1801.124
2015-11-17,1825,1833.75,1790.85,1799.5,712400,1791.567
2015-11-18,1793,1815.25,1772.5,1783.05,647800,1775.189
2015-11-19,1790.1,1820,1759.6,1807.55,633300,1799.581
2015-11-20,1807,1827.5,1790.5,1814.5,430200,1806.501
2015-11-23,1817,1845,1810.1,1842.6,477800,1834.477
2015-11-24,1842.6,1868,1828.35,1860.9,834800,1852.696
2015-11-25,1860.9,1860.9,1860.9,1860.9,0,1852.696
2015-11-26,1863.1,1864.4,1831.8,1836.15,858000,1828.055
2015-11-27,1850.15,1852.9,1805.3,1812.7,699800,1804.709
2015-11-30,1807,1819.95,1783,1795,1461700,1787.087
2015-12-01,1800,1817.9,1792.8,1811.55,477500,1803.564
2015-12-02,1819.95,1879,1812.85,1870.8,878200,1862.553
2015-12-03,1870,1870,1817.25,1821.65,860500,1813.619
2015-12-04,1815,1836,1796.5,1804.75,953900,1796.794
2015-12-07,1822,1836,1808,1831.65,511500,1823.575
2015-12-08,1825,1827.9,1800,1804.35,584100,1796.395
2015-12-09,1804.35,1815,1747.75,1759.95,916600,1752.191
2015-12-10,1763.5,1763.5,1688.5,1733.8,1715900,1726.157
2015-12-11,1727,1770,1726.05,1740.15,1067300,1732.479
2015-12-14,1730,1758.45,1722.5,1747.85,565500,1740.145
2015-12-15,1742.1,1797.7,1742.1,1792.9,665200,1784.996
2015-12-16,1801,1835,1794,1828.8,987100,1820.738
2015-12-17,1835,1846.6,1796,1822.5,1319700,1814.465
2015-12-18,1805.6,1835,1780,1784.4,1127500,1776.533
2015-12-21,1784,1813,1782.1,1801.7,423400,1793.757
2015-12-22,1800,1807.95,1781,1785.2,393400,1777.33
2015-12-23,1801.1,1813,1792,1804.8,472100,1796.844
2015-12-24,1822.05,1822.05,1800.2,1803.9,295000,1795.947
2015-12-25,1803.9,1803.9,1803.9,1803.9,0,1795.947
2015-12-28,1805,1848,1805,1840.95,680000,1832.834
2015-12-29,1860,1865,1835.55,1846.75,636200,1838.609
2015-12-30,1848.6,1850,1831,1836.5,335400,1828.404
2015-12-31,1837,1845.2,1818,1837.25,446600,1829.15
2016-01-01,1836.1,1859,1832.2,1845.25,238400,1837.115
2016-01-04,1830,1837.85,1786.4,1795.15,649100,1787.236
2016-01-05,1813.3,1813.3,1773,1783.05,873300,1775.189
2016-01-06,1775,1786.55,1741.5,1753.2,628100,1745.471
2016-01-07,1749.95,1769.9,1708.4,1717.5,780300,1709.928
2016-01-08,1722.4,1746.35,1702.75,1712.85,752100,1705.299
2016-01-11,1707.8,1715,1690.05,1700.95,597200,1693.451
2016-01-12,1704,1718.5,1692,1700.1,1323600,1692.605
2016-01-13,1715,1721.05,1646.2,1666.15,979000,1658.805
2016-01-14,1650,1725,1636,1717.5,1433200,1709.928
2016-01-15,1718,1725,1695,1701.1,732500,1693.601
2016-01-18,1695.05,1734.6,1680,1702.55,955500,1695.044
2016-01-19,1706,1724.9,1695,1699.75,505800,1692.257
2016-01-20,1687,1720,1680,1691.05,783700,1683.595
2016-01-21,1703,1705,1679,1685.9,960700,1678.468
2016-01-22,1695,1728,1691.45,1721.25,420000,1713.662
2016-01-25,1731,1737.4,1697,1699.05,473300,1691.56
2016-01-26,1699.05,1699.05,1699.05,1699.05,0,1691.56
2016-01-27,1714.95,1725,1660,1689.15,845200,1681.703
2016-01-28,1681.05,1720,1680,1706.35,1004100,1698.827
2016-01-29,1696.25,1721.15,1691.4,1710.75,1027800,1703.208
2016-02-01,1750,1756.45,1698,1702.55,1223700,1695.044
2016-02-02,1703,1734.6,1700,1705.8,958300,1698.28
2016-02-03,1700,1713.75,1682.15,1698.85,557200,1691.361
2016-02-04,1700,1719.9,1617.1,1652.8,1417500,1645.514
2016-02-05,1652,1817,1603,1802.85,4292300,1794.902
2016-02-08,1815,1849,1781.05,1820.9,1698900,1812.873
2016-02-09,1791,1911.9,1791,1905.65,2477600,1897.249
2016-02-10,1886.3,1905,1842.5,1852.95,1958000,1844.781
2016-02-11,1845,1874.8,1784,1791.15,1234500,1783.254
2016-02-12,1810,1810,1725.15,1756.3,970400,1748.557
2016-02-15,1780,1837.3,1775.75,1798.45,1038600,1790.521
2016-02-16,1795.1,1813,1746.4,1750.45,1086300,1742.733
2016-02-17,1762,1767.1,1693.2,1730.4,1581500,1722.771
2016-02-18,1745,1784.7,1732,1776.75,827700,1768.917
2016-02-19,1773.5,1803,1741.6,1788.95,869600,1781.063
2016-02-22,1785,1817.55,1781,1810.55,699700,1802.568
2016-02-23,1820,1820.1,1764,1778.2,589200,1770.361
2016-02-24,1773.7,1780,1737.9,1761.4,622000,1753.635
2016-02-25,1766,1798.2,1741.5,1760.1,963400,1752.341
2016-02-26,1775.1,1786,1718.05,1726.75,858200,1719.138
2016-02-29,1742.8,1775,1695,1754.55,837100,1746.815
2016-03-01,1760,1782,1735.1,1761.5,728900,1753.734
2016-03-02,1776,1819,1760,1781.9,947800,1774.044
2016-03-03,1796,1812,1765.55,1784,781200,1776.135
2016-03-04,1793.75,1795,1770,1780.2,563100,1772.352
2016-03-07,1780.2,1780.2,1780.2,1780.2,0,1772.352
2016-03-08,1782.1,1835,1760.5,1824.7,1428700,1816.656
2016-03-09,1828.95,1845,1816.5,1823.5,1022800,1815.461
2016-03-10,1830,1832,1797.5,1820.95,787000,1812.922
2016-03-11,1830,1863,1812,1856.15,1157600,1847.967
2016-03-14,1860,1874.6,1851.15,1869.2,516800,1860.96
2016-03-15,1799,1799,1716,1722.9,3200600,1715.305
2016-03-16,1732,1753.9,1696.3,1750.2,2061200,1742.484
2016-03-17,1762.7,1766.3,1665.1,1674.3,3308800,1666.919
2016-03-18,1668,1668.8,1535,1554.4,7863500,1547.547
2016-03-21,1572,1572,1501.1,1535.2,6606100,1528.432
2016-03-22,1540.8,1564.8,1536,1549.05,3118800,1542.221
2016-03-23,1558.95,1558.95,1518,1524.15,1764200,1517.431
2016-03-24,1524.15,1524.15,1524.15,1524.15,0,1517.431
2016-03-25,1524.15,1524.15,1524.15,1524.15,0,1517.431
2016-03-28,1548,1548,1490,1495.1,3046700,1488.509
2016-03-29,1490,1491.95,1280,1401.55,18885600,1395.371
2016-03-30,1445,1490,1418.75,1475.3,6901800,1468.796
2016-03-31,1492,1502.45,1471,1479.25,3507700,1472.729
2016-04-01,1475.9,1484,1451.25,1464.85,2301100,1458.392
2016-04-04,1475,1475,1435,1461.15,1786400,1454.708
2016-04-05,1465,1478.95,1446.15,1463.7,2776000,1457.247
2016-04-06,1466.6,1493,1464,1485.1,1248200,1478.553
2016-04-07,1496,1522.3,1487.35,1509.75,3338500,1503.094
2016-04-08,1500,1554.8,1500,1540.1,2848300,1533.31
2016-04-11,1548.25,1549,1501,1518.75,977900,1512.055
2016-04-12,1523,1544.4,1523,1535.95,937800,1529.179
2016-04-13,1541.05,1568.7,1536.85,1548.9,1661300,1542.072
2016-04-14,1548.9,1548.9,1548.9,1548.9,0,1542.072
2016-04-15,1548.9,1548.9,1548.9,1548.9,0,1542.072
2016-04-18,1543.7,1598.7,1543.7,1575,2312800,1568.057
2016-04-19,1575,1575,1575,1575,0,1568.057
2016-04-20,1589,1590,1555.4,1572.6,1762000,1565.667
2016-04-21,1580,1580.65,1552.35,1561,616300,1554.118
2016-04-22,1550,1569,1540.3,1558,614100,1551.131
2016-04-25,1556.3,1557,1535.5,1542.7,500600,1535.899
2016-04-26,1539,1585,1526.5,1579.15,933400,1572.188
2016-04-27,1566.2,1580,1553,1569.9,717200,1562.979
2016-04-28,1566.05,1585,1560.2,1576.3,1791100,1569.351
2016-04-29,1580.9,1617.85,1568.6,1607.25,1849700,1600.164
2016-05-02,1616,1626.5,1603.05,1619.05,748700,1611.912
2016-05-03,1620.1,1632,1565.35,1575.6,1270000,1568.654
2016-05-04,1564.25,1591,1560,1577.75,577600,1570.794
2016-05-05,1594.75,1613.5,1586.25,1603.6,693100,1596.53
2016-05-06,1609.3,1609.3,1578.5,1586.85,399900,1579.854
2016-05-09,1599,1610,1592.6,1605.4,345700,1598.323
2016-05-10,1608.95,1620,1598,1614.7,466300,1607.581
2016-05-11,1600,1611.5,1591,1593.55,752800,1586.525
2016-05-12,1601,1623.85,1596.05,1616.45,333700,1609.324
2016-05-13,1606,1616.95,1585,1588.7,633000,1581.696
2016-05-16,1595,1611.2,1571.3,1603.85,809700,1596.779
2016-05-17,1614,1624.85,1602.45,1613,539100,1605.889
2016-05-18,1609.5,1646,1602.05,1638.15,892400,1630.928
2016-05-19,1654,1689,1636.35,1655.45,3518100,1648.152
2016-05-20,1618,1618,1497.5,1504.8,4490900,1498.166
2016-05-23,1521.5,1526.5,1451,1465.05,2351400,1458.591
2016-05-24,1460,1504.25,1443.3,1465.15,2421500,1458.691
2016-05-25,1481,1495,1468.25,1472.35,862700,1465.859
2016-05-26,1487.8,1487.8,1462,1469.95,1573500,1463.47
2016-05-27,1489,1535.45,1475.05,1480.1,3122800,1473.575
2016-05-30,1489.95,1493.7,1454.1,1467.85,1365100,1461.379
2016-05-31,1470.9,1495,1463.45,1474.75,2522000,1468.249
2016-06-01,1479.65,1500,1478,1490.25,1880100,1483.68
2016-06-02,1480,1494.9,1465,1475.35,1736400,1468.846
2016-06-03,1475.35,1482.85,1446,1450.1,1691200,1443.707
2016-06-06,1465,1465,1414.35,1419.35,1899200,1413.093
2016-06-07,1406,1443.95,1395,1434.85,2157100,1428.524
2016-06-08,1436.25,1442,1419.65,1430.8,1084800,1424.492
2016-06-09,1411.1,1440,1397.4,1427.2,2025000,1420.908
2016-06-10,1423.45,1455,1423.45,1437.45,1096100,1431.113
2016-06-13,1437,1463.75,1430.2,1452.55,1073000,1446.146
2016-06-14,1460,1462.25,1445.1,1450.9,498400,1444.504
2016-06-15,1465.7,1465.7,1445.4,1463,560700,1456.55
2016-06-16,1467,1473,1450.95,1466.2,747300,1459.736
2016-06-17,1477,1477,1456,1464,549100,1457.546
2016-06-20,1461,1475.85,1445.55,1462,646400,1455.555
2016-06-21,1475,1475,1445,1449.65,546500,1443.259
2016-06-22,1452.3,1467,1446,1461.9,999000,1455.455
2016-06-23,1469.8,1494.8,1467.25,1485.7,1524700,1479.15
2016-06-24,1460.3,1470.65,1435,1462.9,969400,1456.451
2016-06-27,1470,1488.8,1461,1479.15,857000,1472.629
2016-06-28,1475,1548.55,1475,1544.7,1927100,1537.89
2016-06-29,1555,1558.7,1524.35,1532.9,910500,1526.142
2016-06-30,1548,1554,1532,1539.7,1024700,1532.912
2016-07-01,1545,1558.95,1542.05,1552.85,514400,1546.004
2016-07-04,1564.2,1575,1555.1,1568.95,757600,1562.033
2016-07-05,1570.1,1571.45,1548.5,1562.9,412700,1556.01
2016-07-06,1562.9,1562.9,1562.9,1562.9,0,1556.01
2016-07-07,1557,1698,1550.6,1655.75,1941000,1648.451
2016-07-08,1701,1712.3,1622.75,1639.15,3341800,1631.924
2016-07-11,1654.8,1673.9,1650,1669.1,800500,1661.742
2016-07-12,1668.5,1684,1661.85,1673.75,717900,1666.371
2016-07-13,1680,1685,1643,1648.45,848200,1641.183
2016-07-14,1650,1664,1640.3,1661.05,482000,1653.727
2016-07-15,1658.55,1687.95,1650.5,1670.15,822500,1662.787
2016-07-18,1670.15,1689.5,1660.45,1665.2,627500,1657.859
2016-07-19,1664.9,1701.8,1662,1693.9,810700,1686.432
2016-07-20,1705,1724,1693.55,1715.15,1228100,1707.589
2016-07-21,1729.8,1736.7,1681.9,1686.55,1531900,1679.115
2016-07-22,1691.75,1704.9,1678.25,1701.25,520300,1693.75
2016-07-25,1708.7,1724.5,1699.5,1722.2,730200,1722.2
2016-07-26,1712.2,1715.15,1694.05,1699.85,1442700,1699.85
2016-07-27,1696.3,1740,1668.8,1719.4,1857300,1719.4
2016-07-28,1735,1743,1696.8,1704.95,840400,1704.95
2016-07-29,1706,1750,1703.8,1739.85,689100,1739.85
2016-08-01,1743,1747.9,1705.75,1724.35,987000,1724.35
2016-08-02,1741,1745,1697,1701.95,620600,1701.95
2016-08-03,1713.95,1718.4,1673.6,1679.85,820900,1679.85
2016-08-04,1670,1678.65,1642,1657.65,947800,1657.65
2016-08-05,1665.5,1694,1661.55,1674.65,589700,1674.65
2016-08-08,1687,1712,1673.4,1693.3,648900,1693.3
2016-08-09,1708.95,1728.25,1598,1607.25,7455900,1607.25
2016-08-10,1600,1606.95,1540,1544.4,3599700,1544.4
2016-08-11,1560.4,1585.7,1551.05,1580.5,2287700,1580.5
2016-08-12,1590.5,1595,1572,1581.95,996500,1581.95
2016-08-15,1581.95,1581.95,1581.95,1581.95,0,1581.95
2016-08-16,1597,1599.9,1577.05,1591.05,890900,1591.05
2016-08-17,1592,1605,1572.05,1594.5,783700,1594.5
2016-08-18,1600,1607.95,1585.2,1588.4,605600,1588.4
2016-08-19,1599.9,1602,1569,1576.05,445000,1576.05
2016-08-22,1564,1567.95,1540,1544.45,920200,1544.45
2016-08-23,1535,1558.6,1530,1555.9,1191800,1555.9
2016-08-24,1545,1551.15,1506,1521.7,1483200,1521.7
2016-08-25,1529,1534.5,1507.05,1522.15,1912800,1522.15
2016-08-26,1535,1540.05,1510,1512.1,927400,1512.1
2016-08-29,1512,1512,1470.7,1479.85,1262600,1479.85
2016-08-30,1480,1512,1480,1508.7,835300,1508.7
2016-08-31,1508.7,1531,1478.55,1482.2,1489100,1482.2
2016-09-01,1482.2,1511.3,1481.2,1501.75,849300,1501.75
2016-09-02,1509.9,1525,1504.5,1518.05,1028900,1518.05
2016-09-05,1518.05,1518.05,1518.05,1518.05,0,1518.05
2016-09-06,1525,1539,1515,1535.45,894600,1535.45
2016-09-07,1550,1552,1537.9,1543.4,595000,1543.4
2016-09-08,1545,1588.4,1538.15,1582.05,1029800,1582.05
2016-09-09,1583.75,1587.9,1564.2,1569.55,874100,1569.55
2016-09-12,1555,1561.8,1527.5,1533.4,492100,1533.4
2016-09-13,1533.4,1533.4,1533.4,1533.4,0,1533.4
2016-09-14,1543,1549.45,1523,1532.2,560300,1532.2
2016-09-15,1532,1555.5,1530,1546.65,558600,1546.65
2016-09-16,1543.95,1555.2,1528,1537.35,935300,1537.35
2016-09-19,1531.4,1557.9,1530,1547.4,652700,1547.4
2016-09-20,1535.8,1561.8,1535.1,1548.25,668000,1548.25
2016-09-21,1553,1559.8,1538.7,1545.75,623800,1545.75
2016-09-22,1560,1560.2,1515.75,1528.65,1230200,1528.65
2016-09-23,1528.95,1529.8,1484,1489.45,1883100,1489.45
2016-09-26,1497,1502.9,1465.1,1494.5,1632200,1494.5
2016-09-27,1503,1519,1495.3,1512.2,1096600,1512.2
2016-09-28,1512.2,1528.75,1509.05,1517.65,976200,1517.65
2016-09-29,1531.8,1531.8,1455,1468.3,1473500,1468.3
2016-09-30,1468.7,1489.5,1458.8,1486.25,860400,1486.25
