"Date","ESCORTS.NS.Open","ESCORTS.NS.High","ESCORTS.NS.Low","ESCORTS.NS.Close","ESCORTS.NS.Volume","ESCORTS.NS.Adjusted"
2015-10-14,162.85,169.75,162.4,165.15,2203400,164.56
2015-10-15,166.75,169.3,164.4,166.8,1430400,166.21
2015-10-16,167.35,171.6,165.3,170.05,1907300,169.45
2015-10-19,170.85,181.7,169.75,178.9,3314900,178.26
2015-10-20,181.7,183.3,176.25,177.9,1865700,177.27
2015-10-21,178,187.6,176.15,186.5,3478900,185.84
2015-10-22,186.5,186.5,186.5,186.5,0,185.84
2015-10-23,187.9,188.2,178.65,180.8,1519400,180.16
2015-10-26,181.45,184.35,179.25,180.2,1705600,179.56
2015-10-27,179.25,181.5,177.2,178.9,884300,178.26
2015-10-28,177.9,183,176.2,180.3,1331500,179.66
2015-10-29,179.9,181.7,177.2,177.8,575800,177.17
2015-10-30,178.35,183.85,173.5,176.2,2030300,175.57
2015-11-02,176.7,180.5,167.5,172.9,3290400,172.29
2015-11-03,173.9,174.5,164.5,165.95,1100600,165.36
2015-11-04,167.45,167.7,161.1,161.8,909400,161.22
2015-11-05,161.95,165.2,158,158.6,896300,158.04
2015-11-06,160,161.35,153.4,154.25,712900,153.7
2015-11-09,149.75,159.5,148.8,158.4,816200,157.84
2015-11-10,157.6,161.3,155.55,156.65,713400,156.09
2015-11-11,156.65,156.65,156.65,156.65,0,156.09
2015-11-12,156.65,156.65,156.65,156.65,0,156.09
2015-11-13,159.45,163.5,157.2,162.75,1004200,162.17
2015-11-16,161.95,162.55,158.75,160.55,473000,159.98
2015-11-17,161.5,165.5,159.85,161.8,905300,161.22
2015-11-18,162,163.4,158.05,159.05,436000,158.48
2015-11-19,160.4,162.5,159.7,161.5,348200,160.93
2015-11-20,161.7,164.45,160.8,162.3,473100,161.72
2015-11-23,162.55,168.4,162.55,167.65,1156800,167.05
2015-11-24,167.2,170.3,166.2,168.5,684100,167.9
2015-11-25,168.5,168.5,168.5,168.5,0,167.9
2015-11-26,168.25,169.9,166.1,167.35,299600,166.75
2015-11-27,167.45,168.3,163.7,164.75,356400,164.16
2015-11-30,164.95,175.7,164.8,174.7,1820600,174.08
