"Date","MFSL.NS.Open","MFSL.NS.High","MFSL.NS.Low","MFSL.NS.Close","MFSL.NS.Volume","MFSL.NS.Adjusted"
2016-01-11,487,487,472.05,476.9,236900,475.436
2016-01-12,480,481,465,469.1,213400,467.66
2016-01-13,476,476,445.1,460.55,308300,459.136
2016-01-14,456,488.45,446.1,479.6,503300,478.128
2016-01-15,487.9,495,466,478.25,1543700,476.782
2016-01-18,482,486.95,443,448.85,292000,447.472
2016-01-19,451.5,465.6,445.85,458.65,347800,457.242
2016-01-20,455,464.7,441.5,446.55,599300,445.179
2016-01-21,451.1,463,451.1,455.1,806000,453.703
2016-01-22,459.4,463.3,453.15,459.7,2195600,458.289
2016-01-25,469,480,463.15,471.6,759600,470.153
2016-01-26,471.6,471.6,471.6,471.6,0,470.153
2016-01-27,332,348.6,332,348.6,20500,347.53
2016-01-28,366,366,351,365.8,89100,364.677
2016-01-29,353.2,369,347.55,365.7,48100,364.578
2016-02-01,375,377.4,352.9,371.15,46100,370.011
2016-02-02,377.85,380,356.1,371.2,59100,370.061
2016-02-03,357.1,371,352.65,358.2,64200,357.101
2016-02-04,362.6,366.5,350.1,361.85,80900,360.739
2016-02-05,356.35,372,350.1,366.4,241700,365.275
2016-02-08,369.8,373.95,360.65,369.45,43900,368.316
2016-02-09,360.6,368,356,360.7,140800,359.593
2016-02-10,368.95,368.95,337,360.1,194500,358.995
2016-02-11,351.05,356,325,332.15,100100,331.131
2016-02-12,311.05,349,311.05,314.65,127400,313.684
2016-02-15,316,337,316,329.3,70700,328.289
2016-02-16,329.3,339,317.8,330.25,61000,329.236
2016-02-17,331,350.95,327.6,346.15,106600,345.088
2016-02-18,354,387.7,340.3,345.2,424100,344.14
2016-02-19,340,350.05,336,346.25,67800,345.187
2016-02-22,352,355,343.15,346.7,86800,345.636
2016-02-23,347.9,347.9,329,338.35,84700,337.311
2016-02-24,332.55,339.2,320,324.5,123200,323.504
2016-02-25,320.6,323.55,302.8,311.85,441800,310.893
2016-02-26,323,330.75,310.55,327.1,71400,326.096
2016-02-29,323.85,343.6,315.6,336.4,80700,335.367
2016-03-01,336.5,339.9,324,325.15,61900,324.152
2016-03-02,331,344.95,327,329.2,111000,328.19
2016-03-03,332,332.05,320.3,321.7,81400,320.713
2016-03-04,323,332,320,321.4,33000,320.414
2016-03-07,321.4,321.4,321.4,321.4,0,320.414
2016-03-08,322,328.9,311.5,314.25,66700,313.285
2016-03-09,317.25,327,311,315.25,61900,314.282
2016-03-10,320.85,337,312.25,330.45,147800,329.436
2016-03-11,331.95,337,327.85,334.25,135200,333.224
2016-03-14,331.1,341.65,331.1,337.65,74400,336.614
2016-03-15,335.05,348,332.4,344.6,77700,343.542
2016-03-16,335,344.9,335,340.15,157400,339.106
2016-03-17,343.95,346.6,334.6,339.2,83300,338.159
2016-03-18,333.3,340,322.4,333.05,86200,332.028
2016-03-21,339.95,344,327.95,329.3,92900,328.289
2016-03-22,335,341.75,327,329.05,126400,328.04
2016-03-23,330.35,334.4,325.1,327.75,64200,326.744
2016-03-24,327.75,327.75,327.75,327.75,0,326.744
2016-03-25,327.75,327.75,327.75,327.75,0,326.744
2016-03-28,329.8,332.5,315.55,319.8,187700,318.818
2016-03-29,324.95,327.6,316.3,320.8,203600,319.815
2016-03-30,319,328.45,319,324.65,191600,323.654
2016-03-31,324.8,349.4,322,344.05,170800,342.994
2016-04-01,341.8,347.8,335.95,344.9,62700,343.841
