"Date","JUSTDIAL.NS.Open","JUSTDIAL.NS.High","JUSTDIAL.NS.Low","JUSTDIAL.NS.Close","JUSTDIAL.NS.Volume","JUSTDIAL.NS.Adjusted"
2016-03-28,741,777,736.2,754.3,4602400,754.3
2016-03-29,750,750,720.6,729.2,3086200,729.2
2016-03-30,742.9,778,740,748.75,2526200,748.75
2016-03-31,759.95,775,746.4,766.4,3234500,766.4
2016-04-01,756,764.9,740.1,761.9,1927100,761.9
2016-04-04,770.3,779,739.1,744.55,1889400,744.55
2016-04-05,742.8,744.95,727,732.2,1381300,732.2
2016-04-06,745,745,726.4,731.05,1132000,731.05
2016-04-07,730,738.1,725,729.3,825900,729.3
2016-04-08,732,763.9,731,760.7,2504100,760.7
2016-04-11,760,826,758,817.55,5810400,817.55
2016-04-12,836,866.6,835.05,855.05,4352100,855.05
2016-04-13,871.8,885,856.1,859.9,2321300,859.9
2016-04-14,859.9,859.9,859.9,859.9,0,859.9
2016-04-15,859.9,859.9,859.9,859.9,0,859.9
2016-04-18,859,894,839.75,886.2,2355800,886.2
2016-04-19,886.2,886.2,886.2,886.2,0,886.2
2016-04-20,894,903.7,881.35,886.65,1500600,886.65
2016-04-21,892.9,897.5,874.2,887.45,1053500,887.45
2016-04-22,880,885,864.8,873.3,911600,873.3
2016-04-25,880,893.9,874.9,882.45,1244700,882.45
2016-04-26,868,874.95,857.1,860.65,1130000,860.65
2016-04-27,858,875.55,846.25,849.65,1189400,849.65
2016-04-28,857,868.8,843.3,860.85,1608900,860.85
2016-04-29,865,865,827,846.45,1193200,846.45
2016-05-02,845.75,861.2,830,851.75,1042600,851.75
2016-05-03,853,860.3,832.35,836.95,922600,836.95
2016-05-04,831,833,766.85,799.5,3683300,799.5
2016-05-05,788,818.4,770,806.45,2166800,806.45
2016-05-06,802.8,823.9,782,788.05,1445500,788.05
2016-05-09,788.5,798,761.6,769.65,1192400,769.65
2016-05-10,763.9,763.9,727,730.5,2132700,730.5
2016-05-11,705,732,705,721.95,2152300,721.95
2016-05-12,720,738.7,712,719.05,1379300,719.05
2016-05-13,723.8,739.85,722.95,731.35,1395500,731.35
2016-05-16,737.8,744,726.2,731.55,697300,731.55
