"Date","TATASTEEL.NS.Open","TATASTEEL.NS.High","TATASTEEL.NS.Low","TATASTEEL.NS.Close","TATASTEEL.NS.Volume","TATASTEEL.NS.Adjusted"
2016-03-23,311.8,317.9,310.55,317.2,6377700,310.2103
2016-03-24,317.2,317.2,317.2,317.2,0,310.2103
2016-03-25,317.2,317.2,317.2,317.2,0,310.2103
2016-03-28,318.4,318.4,297.4,299.15,9069700,292.5581
2016-03-29,300,307.75,300,303.85,5937100,297.1545
2016-03-30,309.45,325.75,305.3,324.3,12438800,317.1539
2016-03-31,324.9,324.9,314.4,319.7,13349900,312.6553
2016-04-01,317.65,319.85,313.35,317.75,5570000,310.7482
2016-04-04,315.8,323.1,314.7,320.35,5167900,313.2909
2016-04-05,316.95,319.4,308.3,312.3,5723200,305.4183
2016-04-06,315,332,313.55,328.55,14591000,321.3102
2016-04-07,329.9,332.75,322.1,323.7,8609400,316.5671
2016-04-08,323.05,324.8,319.05,322.1,6080900,315.0024
2016-04-11,322,333.3,320.05,331.15,9014800,323.8529
2016-04-12,323.9,330.9,318,324.5,11110200,317.3495
2016-04-13,327.5,336.2,326,332.85,10284400,325.5155
2016-04-14,332.85,332.85,332.85,332.85,0,325.5155
2016-04-15,332.85,332.85,332.85,332.85,0,325.5155
2016-04-18,331.9,337.25,327.65,335.55,7192900,328.156
2016-04-19,335.55,335.55,335.55,335.55,0,328.156
2016-04-20,337.95,359.3,337.7,357.45,18382100,349.5734
2016-04-21,358.8,364.05,353.1,354.55,10350600,346.7373
2016-04-22,358,363.75,352.3,353.65,12095800,345.8571
2016-04-25,352.5,353.7,344.55,347.45,6159600,339.7938
2016-04-26,347.15,360.6,347.1,358.6,8345300,350.6981
2016-04-27,358.9,362.4,354.15,356.75,6027500,348.8888
2016-04-28,357,362,346.15,347.6,10079100,339.9405
2016-04-29,347.7,353.9,342.7,351.1,7804500,343.3633
2016-05-02,349,351,344.4,346.95,4181300,339.3048
2016-05-03,348.75,355.65,347,348.9,6374600,341.2118
2016-05-04,346,347.25,327.4,328.75,7957500,321.5058
2016-05-05,329,334.8,324.15,331.8,8335900,324.4886
2016-05-06,330,331.5,325.1,329.3,5362800,322.0437
2016-05-09,330,334.95,327.2,328.7,4658300,321.4569
2016-05-10,330.9,337.25,325.15,328.05,10750000,320.8212
2016-05-11,319.9,332,319.15,329.8,5687700,322.5327
2016-05-12,331.25,332.2,326.6,330.6,4706600,323.3151
2016-05-13,327,329.35,321.2,322.65,5602500,315.5402
2016-05-16,323.05,327.25,319.4,326.4,3930800,319.2076
