"Date","GODREJCP.NS.Open","GODREJCP.NS.High","GODREJCP.NS.Low","GODREJCP.NS.Close","GODREJCP.NS.Volume","GODREJCP.NS.Adjusted"
2016-03-10,1257.95,1258.9,1235,1249.75,47800,1243.99
2016-03-11,1249,1305,1249,1300.4,279300,1294.41
2016-03-14,1315.8,1320,1286.75,1295,1102600,1289.03
2016-03-15,1290,1300,1247.9,1261.6,191100,1255.78
2016-03-16,1261,1292.85,1253.1,1278.8,478000,1272.9
2016-03-17,1290,1298,1273.05,1293.35,195800,1287.39
2016-03-18,1296,1350,1282.15,1326.95,295400,1320.83
2016-03-21,1316,1350,1296,1338.6,268500,1332.43
2016-03-22,1339.95,1341.95,1281,1295.65,480800,1289.68
2016-03-23,1298,1312.1,1286.15,1300.15,187900,1294.16
2016-03-24,1300.15,1300.15,1300.15,1300.15,0,1294.16
2016-03-25,1300.15,1300.15,1300.15,1300.15,0,1294.16
2016-03-28,1295.15,1339,1295.15,1325.55,483900,1319.44
2016-03-29,1310.05,1336.05,1302.35,1331.35,105700,1325.21
2016-03-30,1337,1400,1331.1,1388.15,330800,1381.75
2016-03-31,1399,1409.95,1371,1380.8,459100,1374.43
2016-04-01,1384.9,1403.85,1360.15,1385.2,311400,1378.81
2016-04-04,1398.95,1434,1396.5,1421.3,266600,1414.75
2016-04-05,1417,1417,1342.55,1352.45,513600,1346.22
2016-04-06,1366,1378.05,1340.5,1361.5,206600,1355.22
2016-04-07,1369.65,1378,1342,1351.95,150400,1345.72
2016-04-08,1364.5,1380,1353.05,1376.65,206900,1370.3
2016-04-11,1376.65,1379.95,1346.4,1352.85,131100,1346.61
2016-04-12,1360.55,1361,1335.05,1344.7,214500,1338.5
2016-04-13,1351,1384,1345.05,1374.75,729200,1368.41
2016-04-14,1374.75,1374.75,1374.75,1374.75,0,1368.41
2016-04-15,1374.75,1374.75,1374.75,1374.75,0,1368.41
2016-04-18,1374,1395,1366.7,1377.35,237000,1371
2016-04-19,1377.35,1377.35,1377.35,1377.35,0,1371
2016-04-20,1387,1391.5,1347,1352.15,211800,1345.92
2016-04-21,1357.6,1373.6,1347,1366.1,133800,1359.8
2016-04-22,1366,1386.9,1351.3,1367,114300,1360.7
2016-04-25,1355,1374.75,1353.05,1365.05,158300,1358.76
2016-04-26,1369.7,1369.7,1350.9,1355.35,412500,1349.1
2016-04-27,1354.7,1372.9,1337.1,1368.6,169100,1362.29
2016-04-28,1372.1,1372.1,1322.3,1332.3,431800,1326.16
