"Date","ANDHRABANK.NS.Open","ANDHRABANK.NS.High","ANDHRABANK.NS.Low","ANDHRABANK.NS.Close","ANDHRABANK.NS.Volume","ANDHRABANK.NS.Adjusted"
2015-09-25,67.4,67.4,67.4,67.4,0,66.33
2015-09-28,67.8,68.95,67,67.2,1994000,66.13
2015-09-29,66.1,68.35,65.4,67.55,3854100,66.47
2015-09-30,68,68.3,66,67,1778100,65.93
2015-10-01,67.75,67.75,65.55,66.5,1339400,65.44
2015-10-02,66.5,66.5,66.5,66.5,0,65.44
2015-10-05,67.1,69.15,67,68.5,2023800,67.41
2015-10-06,69.35,69.5,67.5,68.65,2243400,67.56
2015-10-07,68.9,69.5,68.2,68.7,1875000,67.61
2015-10-08,68.5,70.6,67.85,68.75,2575500,67.66
2015-10-09,69.2,70.35,68.85,69.2,2057200,68.1
2015-10-12,69,70.6,68,70.3,2213700,69.18
2015-10-13,69.45,70.35,69.05,69.75,1562300,68.64
2015-10-14,69.5,70.25,68.9,69.05,1383200,67.95
2015-10-15,69.45,70.2,69.25,69.65,1176400,68.54
2015-10-16,69.9,69.95,68.65,69.8,1278100,68.69
2015-10-19,69.65,70.55,68.9,70,1229100,68.89
2015-10-20,70.1,71.1,69.35,69.8,1639600,68.69
2015-10-21,69.5,70.2,67.6,68,1343900,66.92
2015-10-22,68,68,68,68,0,66.92
2015-10-23,68.7,69,67.55,67.75,1083100,66.67
2015-10-26,68.05,68.4,66.05,66.2,1224900,65.15
2015-10-27,66.15,67.2,65.85,66.9,1005200,65.84
2015-10-28,66.5,66.95,65.6,66.05,1123900,65
2015-10-29,66,66.85,65.9,66.15,1390100,65.1
2015-10-30,66.25,66.9,65.05,65.25,2042300,64.21
2015-11-02,65.15,66.1,64.45,65.8,1626900,64.75
2015-11-03,66.5,66.55,65.6,65.8,1061400,64.75
2015-11-04,66.5,66.55,65.6,65.9,717700,64.85
2015-11-05,65.5,65.9,64.5,64.7,973600,63.67
2015-11-06,64.25,66.9,64.1,66.45,1799300,65.39
2015-11-09,66.4,68.85,65.5,68.55,2970000,67.46
2015-11-10,68.9,70.1,67.4,67.65,2375900,66.57
2015-11-11,67.65,67.65,67.65,67.65,0,66.57
2015-11-12,67.65,67.65,67.65,67.65,0,66.57
2015-11-13,67.8,68.25,67.1,67.75,790600,66.67
2015-11-16,67.6,69.5,67.35,69.2,1390700,68.1
2015-11-17,69.5,69.95,68.2,68.65,1295300,67.56
2015-11-18,68.3,69.45,65.8,66.15,1575600,65.1
2015-11-19,66.9,67.1,66.15,66.75,779700,65.69
2015-11-20,66.65,67.7,66.5,66.8,960300,65.74
2015-11-23,67.2,68,67,67.7,1059100,66.62
2015-11-24,67.8,68.3,67.55,67.7,769800,66.62
2015-11-25,67.7,67.7,67.7,67.7,0,66.62
2015-11-26,68,68,66.2,66.5,2120600,65.44
2015-11-27,67,69,66.85,68.65,2252200,67.56
2015-11-30,68.8,69.75,68.8,69.1,1220100,68
2015-12-01,69.35,69.7,68.5,69.4,1613300,68.3
2015-12-02,69.7,69.95,68.25,68.7,1280100,67.61
2015-12-03,68.2,68.55,67.3,67.55,1135500,66.47
2015-12-04,67,67.35,66,66.1,1429000,65.05
2015-12-07,66.85,66.85,65.5,65.75,799800,64.7
2015-12-08,65.35,65.85,63.9,64.2,971300,63.18
2015-12-09,63.75,64.6,62.7,63.15,1162500,62.14
2015-12-10,63.5,63.7,62.75,63.55,993900,62.54
2015-12-11,63.45,64.35,60.8,61.7,1290600,60.72
2015-12-14,61.5,62.7,61,62.25,990600,61.26
2015-12-15,62.25,62.45,61.35,61.9,850900,60.91
2015-12-16,62.2,63.25,61.95,62.35,942000,61.36
2015-12-17,62.8,64,62.8,63.7,851900,62.69
2015-12-18,63.5,65.1,63.2,64.2,1173100,63.18
2015-12-21,64.3,64.75,63.85,64.4,742000,63.37
2015-12-22,64.75,65.1,63.5,63.7,816800,62.69
2015-12-23,64,64.55,63.9,64.4,651000,63.37
2015-12-24,64.55,64.65,63.75,63.9,560600,62.88
2015-12-25,63.9,63.9,63.9,63.9,0,62.88
2015-12-28,63.9,64.45,63.85,64.05,530300,63.03
2015-12-29,64.4,64.4,63.15,63.45,778900,62.44
2015-12-30,63.65,63.85,63.1,63.2,868200,62.19
2015-12-31,63.5,67,62.8,65.65,11695300,64.61
