"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2015-11-26,807.999,817.899,800.55,803.7,3206000,225.4851
2015-11-27,806.001,816,801.75,812.25,2512300,227.8839
2015-11-30,815.001,848.751,813.15,840.099,4613900,235.6972
2015-12-01,842.151,851.001,839.001,847.251,3264900,237.7038
2015-12-02,849.999,856.8,837.6,843.951,3127800,236.7779
2015-12-03,848.001,849,832.299,834.651,2016200,234.1687
2015-12-04,830.199,834.9,819.351,821.25,1932300,230.409
2015-12-07,830.001,848.001,830.001,839.301,2298100,235.4733
2015-12-08,846,850.8,829.2,834.351,2049000,234.0846
2015-12-09,833.901,834,806.499,809.4,1999900,227.0843
2015-12-10,806.001,833.799,797.499,829.35,3130200,232.6815
2015-12-11,830.1,843,817.449,825.75,3697500,231.6715
2015-12-14,829.899,830.199,811.449,816.3,1948300,229.0202
2015-12-15,816,828.249,808.749,811.449,3230900,227.6592
2015-12-16,825,841.101,819.999,828.6,3656100,232.4711
2015-12-17,834.999,839.901,826.101,830.25,2369900,232.934
2015-12-18,830.901,844.599,828,830.7,2734700,233.0602
2015-12-21,830.7,837,826.5,832.401,1668200,233.5375
2015-12-22,833.1,839.751,828,831.999,1692700,233.4247
2015-12-23,834.999,846,830.25,843.999,1585300,236.7914
2015-12-24,846.75,849.801,840.249,845.649,1707000,237.2543
2015-12-25,845.649,845.649,845.649,845.649,0,237.2543
2015-12-28,846,847.899,838.401,842.949,1612700,236.4968
2015-12-29,851.001,855.501,840.999,843.399,1986700,236.623
2015-12-30,842.001,846.9,831.651,834.399,1493300,234.098
2015-12-31,834.951,843.999,831.501,836.199,8785500,234.603
2016-01-01,840,858.201,838.701,853.851,1520700,239.5555
2016-01-04,843.9,861.9,836.4,856.449,2546300,240.2843
2016-01-05,856.599,861.3,842.499,856.65,3425000,240.3407
2016-01-06,852.999,885.651,852.999,881.649,5302200,247.3544
2016-01-07,879,888.249,852.249,858.651,3380000,240.9021
2016-01-08,863.001,897,862.899,887.55,2527400,249.01
2016-01-11,890.001,890.4,872.001,876.549,1982900,245.9236
2016-01-12,875.049,885,866.001,868.449,2483000,243.651
2016-01-13,872.451,881.751,843,871.65,2694200,244.5491
2016-01-14,859.599,901.65,854.1,885.45,3733800,248.4208
2016-01-15,890.799,909.999,881.499,886.35,3782100,248.6733
2016-01-18,879.999,893.649,811.701,822.399,4352100,230.7313
2016-01-19,828.501,837.999,804.6,824.4,2810600,231.2927
2016-01-20,821.199,822,782.649,805.701,2713100,226.0465
2016-01-21,815.7,819,780.651,795.501,2663600,223.1848
2016-01-22,797.001,820.251,794.7,798.45,2586600,224.0122
2016-01-25,802.5,804.999,777.501,789.801,1876100,221.5857
2016-01-26,789.801,789.801,789.801,789.801,0,221.5857
2016-01-27,792.999,813.999,791.349,797.151,3221300,223.6478
2016-01-28,799.701,828,794.25,816.999,11149900,229.2163
2016-01-29,812.199,832.299,810.999,815.949,4272700,228.9217
2016-02-01,814.101,818.349,800.001,806.55,2932300,226.2847
2016-02-02,806.499,812.349,781.701,784.401,3683200,220.0706
2016-02-03,780,790.599,763.101,768.999,4243300,215.7495
2016-02-04,771.849,771.849,717.999,732.549,7508000,205.5231
2016-02-05,738.999,761.151,732.051,748.35,4169200,209.9562
2016-02-08,748.35,753.399,736.299,742.251,2434300,208.2451
2016-02-09,738.9,748.551,723.999,726.699,1996400,203.8818
2016-02-10,721.2,731.901,711.249,722.901,2470000,202.8163
2016-02-11,714.951,714.951,678.549,683.25,3772900,201.2987
2016-02-12,696,696,652.299,689.55,6473700,203.1548
2016-02-15,720,750.9,720,728.601,3967300,214.66
2016-02-16,729.999,732.351,684.051,691.401,3117400,203.7001
