"Date","JINDALSTEL.NS.Open","JINDALSTEL.NS.High","JINDALSTEL.NS.Low","JINDALSTEL.NS.Close","JINDALSTEL.NS.Volume","JINDALSTEL.NS.Adjusted"
2015-08-10,78.5,84.3,78.4,82.1,10806500,82.1
2015-08-11,82.9,87.45,80.85,81.55,16333900,81.55
2015-08-12,81,81,76.55,77.15,10861100,77.15
2015-08-13,76.85,78.5,67.6,68.4,16107000,68.4
2015-08-14,64.85,73.65,62.1,70.95,27660800,70.95
2015-08-17,70.5,72.75,67,70.8,10013400,70.8
2015-08-18,70.95,73.75,69.25,71,7121000,71
2015-08-19,70.05,76.4,69.1,74.05,11849700,74.05
2015-08-20,72.75,73.8,67.4,67.9,10960200,67.9
2015-08-21,66,71.8,65,70.85,11994300,70.85
2015-08-24,68,71.6,65.1,67.8,13688400,67.8
2015-08-25,69,70.55,60,68.9,10463900,68.9
2015-08-26,69,69.65,66.05,67.3,7358400,67.3
2015-08-27,69.35,71.05,68.1,70.15,9939000,70.15
2015-08-28,72.85,73.8,66.55,67.6,13137600,67.6
2015-08-31,67.45,69.6,65.2,67.55,39144100,67.55
2015-09-01,67.55,69.5,64.1,64.7,9998200,64.7
2015-09-02,65.5,66.8,64.05,64.3,6729600,64.3
2015-09-03,65.2,66.45,64.5,65.2,5672600,65.2
2015-09-04,64.9,65.3,57.55,62.15,13315800,62.15
2015-09-07,62.8,63,59.2,59.9,5749500,59.9
2015-09-08,60.4,61.85,58.55,60.5,7866400,60.5
2015-09-09,62,63.3,60.3,62.35,8035000,62.35
2015-09-10,61,61.95,59.3,60.85,5066600,60.85
2015-09-11,61.1,63.35,60.35,61.85,6459600,61.85
2015-09-14,62,64.5,60.7,64.15,8675600,64.15
2015-09-15,64.5,65.1,62,62.15,7756800,62.15
2015-09-16,63,64.25,62.45,63.95,5621700,63.95
2015-09-17,63.95,63.95,63.95,63.95,0,63.95
2015-09-18,64.2,65.6,63.2,64,10522300,64
2015-09-21,62.35,66.95,62.15,65.2,8588700,65.2
2015-09-22,65,65.65,61.4,61.8,7611300,61.8
2015-09-23,60.6,62.3,59.95,60.75,7352000,60.75
2015-09-24,60.6,61.4,58.8,59.85,11173400,59.85
2015-09-25,59.85,59.85,59.85,59.85,0,59.85
2015-09-28,60.1,61.1,58,58.3,4753200,58.3
2015-09-29,57.75,59.8,56,58.5,9313100,58.5
2015-09-30,59.8,61.15,59.3,60.65,5594900,60.65
2015-10-01,61.2,62,59.95,60.15,4485400,60.15
2015-10-02,60.15,60.15,60.15,60.15,0,60.15
2015-10-05,60.8,70.45,60.5,69.3,21086400,69.3
2015-10-06,70.5,76.2,67.55,73.9,24691700,73.9
2015-10-07,72.7,73.15,69.6,70.1,13682500,70.1
2015-10-08,69.7,72.5,69.55,70.25,11320800,70.25
2015-10-09,70.9,72.8,69,69.4,10127700,69.4
2015-10-12,70.05,74.85,69.5,72.7,15035100,72.7
2015-10-13,72.5,75.25,72,74.6,10198900,74.6
2015-10-14,74.1,77.25,73.5,74.05,9288700,74.05
2015-10-15,74.9,75.95,73.6,75.35,5368700,75.35
2015-10-16,75.75,75.9,73.65,75.1,3478700,75.1
2015-10-19,75.7,76.55,74.35,75.05,3002500,75.05
2015-10-20,75.65,77.9,74.3,75.35,7037900,75.35
2015-10-21,75.2,76.8,74.55,76.05,5520600,76.05
2015-10-22,76.05,76.05,76.05,76.05,0,76.05
2015-10-23,77.6,78.85,75.6,76.45,8457000,76.45
2015-10-26,77.45,77.45,74.65,75.25,5412200,75.25
2015-10-27,74.85,75.8,72.85,75.25,7162800,75.25
2015-10-28,74.5,77.75,74.4,76.8,6747400,76.8
2015-10-29,77,77.85,74.5,77.05,6717400,77.05
2015-10-30,77.35,87.35,76.15,80.15,20273400,80.15
2015-11-02,79.7,81.8,77.4,78.6,7887700,78.6
2015-11-03,79.5,79.8,75.1,76.05,5779500,76.05
2015-11-04,77.25,78,75.75,76.3,5203400,76.3
2015-11-05,76.25,76.5,73.25,73.7,4015700,73.7
2015-11-06,73.9,74.4,71.5,72,4011500,72
2015-11-09,69,73.1,69,72.25,4299300,72.25
2015-11-10,72.2,73.05,70.9,71.55,5822700,71.55
2015-11-11,71.55,71.55,71.55,71.55,0,71.55
2015-11-12,71.55,71.55,71.55,71.55,0,71.55
2015-11-13,71.5,82.55,70.2,79.35,21210000,79.35
2015-11-16,76,82.3,73.05,81.1,15339100,81.1
2015-11-17,81.6,83.65,80.7,82,7986900,82
2015-11-18,81.8,83.15,79.75,80.8,6066200,80.8
2015-11-19,81.3,82.6,80.2,81.6,4303200,81.6
2015-11-20,89.75,94.5,85.9,87.8,32348000,87.8
2015-11-23,87.2,88.25,82.4,83.15,8284400,83.15
2015-11-24,82.7,87.2,82.15,86.35,10765400,86.35
2015-11-25,86.35,86.35,86.35,86.35,0,86.35
2015-11-26,86.7,92,85.05,90.4,16157300,90.4
2015-11-27,90,92.85,88.6,90.35,9182200,90.35
2015-11-30,90.85,91.7,89.6,90.9,4792800,90.9
2015-12-01,91.3,96.2,91.1,95.3,12688200,95.3
2015-12-02,95.4,96.45,94.1,94.95,5999900,94.95
2015-12-03,94.7,94.9,91.6,91.9,4906300,91.9
2015-12-04,90.7,95.55,90.25,93.4,10544200,93.4
2015-12-07,95,95.2,92,93.6,5591700,93.6
2015-12-08,92.8,93.75,87.45,88.95,4939700,88.95
2015-12-09,88.95,90.2,83.6,85,7912400,85
2015-12-10,85.3,88.5,84.5,87.35,4311200,87.35
2015-12-11,88.55,91.5,85.2,86.75,9686300,86.75
2015-12-14,87,91.8,86.6,90.9,7656800,90.9
2015-12-15,91,91.4,89.05,90.55,3915100,90.55
2015-12-16,91.4,92.3,89.6,89.85,4320200,89.85
2015-12-17,90.1,92.85,89.3,92.1,9100200,92.1
2015-12-18,91.8,91.85,89.2,91,4628200,91
2015-12-21,91.75,93,90.45,91.7,4002900,91.7
2015-12-22,91.95,93,89.55,90.55,4157700,90.55
2015-12-23,91.55,92.9,91.5,92.35,3619300,92.35
2015-12-24,93.25,93.7,91.2,92.4,2990800,92.4
2015-12-25,92.4,92.4,92.4,92.4,0,92.4
2015-12-28,92.4,92.8,89.8,90.65,3151200,90.65
2015-12-29,91.5,91.7,90.2,90.75,2341200,90.75
2015-12-30,91,95.4,90.45,94.85,12085900,94.85
2015-12-31,95.1,98.15,94.3,96.25,20223500,96.25
2016-01-01,96.5,96.5,93.8,94.2,3403500,94.2
2016-01-04,92.8,94.9,91.5,92.65,6682500,92.65
2016-01-05,93.05,97.3,91.5,95.9,8447200,95.9
2016-01-06,96.5,97,93.05,93.45,4813300,93.45
2016-01-07,91,92,83.15,83.95,9245300,83.95
2016-01-08,84.9,86.8,80.5,84.6,12862100,84.6
2016-01-11,82.2,84.9,80.95,83.95,9583600,83.95
2016-01-12,83.7,85.45,79.2,80,10828800,80
2016-01-13,82.2,82.8,74.6,77.8,12945100,77.8
2016-01-14,76.7,76.75,71.5,72.2,11858000,72.2
2016-01-15,72.7,73.2,62,64,15515200,64
2016-01-18,62.35,64.9,59,60,15693000,60
2016-01-19,60,65.6,57,64.35,20381800,64.35
2016-01-20,61.8,62.7,59.8,61.05,12411500,61.05
2016-01-21,62.1,64.4,61.2,62.65,10154900,62.65
2016-01-22,64.25,66.7,63.5,66.05,7780800,66.05
2016-01-25,67.2,67.75,64.1,65.3,5484100,65.3
2016-01-26,65.3,65.3,65.3,65.3,0,65.3
2016-01-27,66.45,66.9,64.95,65.9,5996500,65.9
2016-01-28,65.95,65.95,63.7,64.05,13364500,64.05
2016-01-29,64.75,65.9,61,64.2,8850200,64.2
2016-02-01,64.8,65.5,62.5,63.9,5358900,63.9
2016-02-02,64.35,64.45,59.7,60.05,7898400,60.05
2016-02-03,59.35,60.05,54.8,55.4,13119900,55.4
2016-02-04,56.2,58.6,54.6,57.4,9214100,57.4
2016-02-05,58.4,64.35,57.85,63.5,20592200,63.5
2016-02-08,65.5,66.3,61,61.3,11315300,61.3
2016-02-09,59.8,62.1,58.95,61.2,9940300,61.2
2016-02-10,60.75,61.25,58.25,59.65,6818400,59.65
2016-02-11,60,60,52.9,54.9,10630200,54.9
2016-02-12,56.95,56.95,48.1,55.45,17832300,55.45
2016-02-15,56.3,65.45,56.1,63.15,17147000,63.15
2016-02-16,64.4,64.4,58.3,59.15,10900100,59.15
2016-02-17,59.5,59.5,55,57.05,13304500,57.05
2016-02-18,58.75,61,56,57.05,11935700,57.05
2016-02-19,56.35,59.25,55,57.3,7841500,57.3
2016-02-22,57.6,58.25,55.6,56.75,6208400,56.75
2016-02-23,57,58.25,55.2,56.5,8478000,56.5
2016-02-24,55.6,60.7,55,58.25,15065700,58.25
2016-02-25,58.05,58.95,53.75,54.15,16928900,54.15
2016-02-26,55.25,55.6,52.55,53.4,9522300,53.4
2016-02-29,54,55,52,53.4,8912500,53.4
2016-03-01,53.8,56.4,53.55,55.85,7826200,55.85
2016-03-02,57.7,59.9,56.3,57.3,16618500,57.3
2016-03-03,58.45,64,57.3,63.35,24050900,63.35
2016-03-04,65.3,65.6,61.85,63.15,17267800,63.15
2016-03-07,63.15,63.15,63.15,63.15,0,63.15
2016-03-08,64,67.4,63.5,66.4,18857900,66.4
2016-03-09,63,65.5,61.35,65.05,15705400,65.05
2016-03-10,65.05,67.9,63,65.85,23453500,65.85
2016-03-11,65.4,67.5,62.5,62.8,18800700,62.8
2016-03-14,63.8,64,59.4,59.75,16146400,59.75
2016-03-15,60.8,61.35,59.05,60.7,11894900,60.7
2016-03-16,60.7,61.7,58,58.65,10477000,58.65
2016-03-17,60.45,60.85,58.4,58.8,8281100,58.8
2016-03-18,60.05,61,59.2,60.6,8224000,60.6
2016-03-21,61,61.6,59.6,60.25,6524000,60.25
2016-03-22,60.8,62.2,60.8,61.55,11955000,61.55
2016-03-23,62,63.25,61.8,62.2,10700600,62.2
2016-03-24,62.2,62.2,62.2,62.2,0,62.2
2016-03-25,62.2,62.2,62.2,62.2,0,62.2
2016-03-28,62.9,63.25,59.25,60.25,6952300,60.25
