"Date","BHEL.NS.Open","BHEL.NS.High","BHEL.NS.Low","BHEL.NS.Close","BHEL.NS.Volume","BHEL.NS.Adjusted"
2015-12-21,166.5,168.5,166.15,167.1,1545600,165.357
2015-12-22,167.9,168.75,165.45,165.95,2282800,164.219
2015-12-23,166.95,172.8,166.8,172.1,4968200,170.305
2015-12-24,173.95,174.5,171.6,172.7,3214100,170.899
2015-12-25,172.7,172.7,172.7,172.7,0,170.899
2015-12-28,173.65,174,171.05,171.45,1851300,169.662
2015-12-29,172.6,172.6,166.5,168.55,3424800,166.792
2015-12-30,170,170.9,168.3,169.75,2156700,167.979
2015-12-31,169.7,170.25,167.4,169.15,3120000,167.386
2016-01-01,169,172,168.15,170.9,1700800,169.117
2016-01-04,170.5,170.95,164.5,165.2,2322000,163.477
2016-01-05,165.8,168.05,164.2,166.3,2286600,164.565
2016-01-06,167.3,168.8,165.15,165.65,2510700,163.922
2016-01-07,164,164.2,153.1,153.75,4947400,152.146
2016-01-08,156.4,156.45,152.3,153.6,3027700,151.998
2016-01-11,151.9,151.9,148,149.45,3047100,147.891
2016-01-12,149.9,153.2,149.1,150.65,2421300,149.079
2016-01-13,151.95,153,142.95,148.2,3625000,146.654
2016-01-14,145.2,146.9,142.5,143.65,2557600,142.152
2016-01-15,145.5,145.5,135.1,136.4,3265800,134.977
2016-01-18,136,148,131.8,142.1,6836300,140.618
2016-01-19,143.1,145.3,136.6,144.3,4245500,142.795
2016-01-20,141.45,144.7,136.3,143.05,5412900,141.558
2016-01-21,145.5,147.55,141.45,143.1,4259600,141.607
2016-01-22,146.15,147.9,143.6,147.35,2813700,145.813
2016-01-25,148.35,151.45,144.3,145.25,3053800,143.735
2016-01-26,145.25,145.25,145.25,145.25,0,143.735
2016-01-27,145.5,146,139.15,139.6,3944500,138.144
2016-01-28,139.6,140.5,136.05,136.9,9550000,135.472
2016-01-29,137.75,139.65,136.5,138.7,3217100,137.253
2016-02-01,139.7,144.8,136.5,140.25,6689500,138.787
2016-02-02,140.55,140.7,134.3,134.8,3840700,133.394
2016-02-03,133,133.3,127.8,128.2,4342300,126.863
2016-02-04,129.25,131.45,127.2,129.5,3684400,128.149
2016-02-05,129.9,133.45,128.45,132.8,3341000,131.415
2016-02-08,132.95,137.9,131.5,132.3,3386900,130.92
2016-02-09,131.75,133.4,129.95,131.4,2666400,130.029
2016-02-10,130.95,131.25,126.65,128,2600200,126.665
2016-02-11,127,129.25,119.15,120.25,5380100,118.996
2016-02-12,114,115.65,102.25,104.45,20437800,103.361
2016-02-15,106.7,109.5,101.9,107.95,14192100,106.824
2016-02-16,109,109.95,101.6,103.25,7996700,102.173
2016-02-17,103.7,106.5,100.1,105.75,9166000,104.647
2016-02-18,108,108.5,101.2,103.7,10123800,102.618
2016-02-19,100,105.3,98.65,101.75,14383700,100.689
2016-02-22,103,103.2,100.4,101,8219800,99.947
2016-02-23,102.7,102.7,98,98.45,10411900,97.423
2016-02-24,98.3,98.3,92.9,93.45,11200000,92.475
2016-02-25,94.5,94.85,91.35,94.35,12827500,93.366
2016-02-26,95.45,96.8,93.8,95.1,6325800,94.108
2016-02-29,95.8,96.5,90.15,90.85,10835800,89.902
2016-03-01,91.45,93.6,90.75,92.8,10852900,91.832
2016-03-02,96.8,101.95,95.8,97.1,19480000,96.087
2016-03-03,98,103.85,97.15,103.3,16552800,102.223
2016-03-04,104.1,108.2,102.05,107.6,13089000,106.478
2016-03-07,107.6,107.6,107.6,107.6,0,106.478
2016-03-08,108,111.15,104.75,106,8827200,104.894
2016-03-09,106,108,103.6,107.65,6838400,106.527
2016-03-10,107.75,107.75,103.6,104.4,8003300,103.311
2016-03-11,104.4,105.2,102.75,103.7,6744500,102.618
2016-03-14,104.8,106.85,102.65,105.95,7566300,104.845
2016-03-15,105.9,107.05,105.15,106.15,4257500,105.043
2016-03-16,107.5,108.5,105.05,106.4,6181400,105.29
2016-03-17,107.55,112.2,106.85,110.9,11431500,109.743
