"Date","EXIDEIND.NS.Open","EXIDEIND.NS.High","EXIDEIND.NS.Low","EXIDEIND.NS.Close","EXIDEIND.NS.Volume","EXIDEIND.NS.Adjusted"
2015-08-10,158.25,161.3,157.5,158.75,1596000,154.33
2015-08-11,158.15,160.2,156.2,159.45,2242200,155.01
2015-08-12,158.5,160,155.8,158.25,3212500,153.85
2015-08-13,158,161.7,155.2,156.05,2268200,151.71
2015-08-14,156.8,160.5,155.55,159.6,1336100,155.16
2015-08-17,159.25,163.8,158,162,1603000,157.49
2015-08-18,165,168.6,163.1,164.35,3544500,159.78
2015-08-19,164.05,164.8,159,160.65,1886600,156.18
2015-08-20,160.25,163.5,158.15,160.75,1547400,156.28
2015-08-21,158,159,151.3,154.3,2386100,150.01
2015-08-24,146,152.35,145,147.55,2718000,143.45
2015-08-25,146.05,156.25,143.7,153.3,3691800,149.04
2015-08-26,152,155.8,151.9,152.9,1650800,148.65
2015-08-27,153.6,158.8,151.1,156.75,1905100,152.39
2015-08-28,158.2,159.35,152,154.1,2132800,149.81
2015-08-31,153.95,154.9,152.3,153.6,1122500,149.33
2015-09-01,151.6,152.35,145.5,148.35,1670300,144.22
2015-09-02,148.9,149.95,147.5,148.8,851600,144.66
2015-09-03,149.75,151.1,147.9,149.15,825300,145
2015-09-04,148.7,148.8,143.8,147.8,1433000,143.69
2015-09-07,147.8,148.9,146,147.1,531300,143.01
2015-09-08,146,148.8,142.4,148.1,1078900,143.98
2015-09-09,149.4,150.1,147.1,149.05,685900,144.9
2015-09-10,147,152.9,145.75,150.4,660100,146.22
2015-09-11,150.8,151.95,146.65,148.1,305100,143.98
2015-09-14,148.45,149.5,147.4,148.7,293300,144.56
2015-09-15,148.1,150.2,147.8,149.1,476100,144.95
2015-09-16,149.5,150.25,147.25,148.75,1652700,144.61
2015-09-17,148.75,148.75,148.75,148.75,0,144.61
2015-09-18,149.05,151.7,146.35,147.6,1703200,143.49
2015-09-21,147,154.95,145.75,153.25,587700,148.99
2015-09-22,155,155.55,150.1,152.7,572800,148.45
2015-09-23,150.2,153.5,149.15,152.45,696500,148.21
2015-09-24,153,164.95,151.85,159.4,3150800,154.97
2015-09-25,159.4,159.4,159.4,159.4,0,154.97
2015-09-28,156.9,159.85,155,155.95,852800,151.61
2015-09-29,153.95,155.15,151.6,152.4,1578700,148.16
2015-09-30,153.25,157.5,153,155.65,1502000,151.32
2015-10-01,155,156.8,151,152,388900,147.77
2015-10-02,152,152,152,152,0,147.77
2015-10-05,152.85,153.85,152,152.7,349000,148.45
2015-10-06,153.9,154.75,152.15,152.7,589600,148.45
2015-10-07,153.7,159.65,152.85,158.8,2558000,154.38
2015-10-08,159,159,155.05,155.8,380200,151.47
2015-10-09,155.8,157.9,150.7,152,1113100,147.77
2015-10-12,152.8,153.8,149.75,152.25,1046000,148.01
2015-10-13,152,152.5,149.95,150.75,549100,146.56
2015-10-14,150.05,152,150,150.4,526600,146.22
2015-10-15,150.8,152.05,150.15,150.85,708400,146.65
2015-10-16,151.75,153.5,151.4,152,650900,147.77
2015-10-19,152,157,151.8,155.75,1085800,151.42
2015-10-20,156.7,157,154.6,155.8,587200,151.47
2015-10-21,156,162.5,156,160.75,1763100,156.28
2015-10-22,160.75,160.75,160.75,160.75,0,156.28
2015-10-23,161.45,162.55,158,158.8,728300,154.38
2015-10-26,158.9,163.9,157.4,162.2,1150000,157.69
2015-10-27,161.75,163.4,160.1,161.4,809100,156.91
2015-10-28,162,165.5,159.2,160.95,3846900,156.47
2015-10-29,160.95,162.6,155.4,156.05,3085000,151.71
2015-10-30,156.55,158,148.5,149.5,2257600,145.34
2015-11-02,151.5,154.45,150,152.55,1011700,148.31
2015-11-03,153.8,153.8,148.55,149.1,1781800,144.95
2015-11-04,149,151.4,146.8,147.45,1219000,143.35
2015-11-05,147.25,147.9,144.6,144.9,613300,142.41
2015-11-06,145,145,141.5,142.95,467100,140.5
2015-11-09,139,145.4,138.75,144.7,1604800,142.22
2015-11-10,143.9,145,141.25,141.75,864800,139.32
2015-11-11,141.75,141.75,141.75,141.75,0,139.32
2015-11-12,141.75,141.75,141.75,141.75,0,139.32
2015-11-13,143.45,145.45,141.1,145.1,1118600,142.61
2015-11-16,145.1,148.25,144.6,147.25,1089400,144.72
2015-11-17,147.7,149.9,146.3,147,1085700,144.48
2015-11-18,147.05,149.7,146.35,147.3,668400,144.77
2015-11-19,148.25,149.5,147.75,149.1,1472600,146.54
2015-11-20,149.7,151,148.35,148.8,563100,146.25
2015-11-23,148.9,150.15,148.5,148.9,584000,146.35
2015-11-24,148.3,151,148.1,148.8,422600,146.25
2015-11-25,148.8,148.8,148.8,148.8,0,146.25
2015-11-26,149,151.4,147.75,148.65,2116800,146.1
2015-11-27,148.65,149.8,146.65,148.45,591800,145.9
2015-11-30,148,149.9,146.4,147.75,2337600,145.22
2015-12-01,148.6,148.95,145.5,146,573100,143.5
2015-12-02,146.15,146.45,143.8,145.1,907600,142.61
2015-12-03,144.8,144.95,142.75,143,812600,140.55
2015-12-04,142.5,144.25,141.1,141.3,805300,138.88
2015-12-07,142.4,142.8,140.3,141,1692200,138.58
2015-12-08,140.5,141.85,138.9,139.7,956600,137.3
2015-12-09,139.7,139.85,136.1,137.55,830900,135.19
2015-12-10,136.5,140,135.5,139.35,1200900,136.96
2015-12-11,140,140.5,138.4,139.95,1447100,137.55
2015-12-14,138.9,141.55,137.85,140.95,1025100,138.53
2015-12-15,141,144.5,139.75,143.55,729800,141.09
2015-12-16,143.55,144.75,141.5,143.95,925800,141.48
