"Date","UBL.NS.Open","UBL.NS.High","UBL.NS.Low","UBL.NS.Close","UBL.NS.Volume","UBL.NS.Adjusted"
2016-01-06,946.5,974.6,933.45,941.85,230800,940.52
2016-01-07,942,947.7,920,924.75,174000,923.45
2016-01-08,930.95,942.25,909.05,913,166500,911.71
2016-01-11,913,914.75,892.1,896.75,103500,895.49
2016-01-12,897,897,878.4,881.1,125300,879.86
2016-01-13,880.2,883.95,855.75,871.05,388000,869.82
2016-01-14,852,879.05,846.45,873.35,111100,872.12
2016-01-15,880.1,885,855.7,861.5,1e+05,860.29
2016-01-18,864,881.35,818,829.3,180900,828.13
2016-01-19,826,847,823,840.95,78200,839.77
2016-01-20,837.85,839.95,782.55,801.05,128600,799.92
2016-01-21,808,819,781.8,788.55,248700,787.44
2016-01-22,817,817,786.4,788.8,122700,787.69
2016-01-25,796,799.8,780,784.4,132500,783.3
2016-01-26,784.4,784.4,784.4,784.4,0,783.3
2016-01-27,780,791.2,765.1,773.95,285900,772.86
2016-01-28,776,783.2,761.65,777.15,283900,776.06
2016-01-29,777.2,788.8,761.15,772.7,190100,771.61
2016-02-01,779.9,783.65,765,776.05,147300,774.96
2016-02-02,781.9,815.1,781.9,805.75,692100,804.62
2016-02-03,812.7,816,778.8,796.95,1032600,795.83
2016-02-04,822,822,802.2,811.3,405500,810.16
2016-02-05,814.95,820,807.5,815.45,138900,814.3
2016-02-08,820,825.95,802.05,814.15,291400,813
2016-02-09,814,819.7,796.5,811.85,221300,810.71
2016-02-10,813.6,820.9,795.2,809.95,113100,808.81
2016-02-11,812,816,784.35,797.25,113300,796.13
2016-02-12,804.9,810.5,787.75,805.2,190100,804.07
2016-02-15,810,820,794.5,802.4,262600,801.27
2016-02-16,790,798.85,752.95,785.95,279000,784.84
2016-02-17,795,812.95,772.95,808.95,192200,807.81
2016-02-18,809,813,794.55,801.65,75600,800.52
2016-02-19,810,819.9,796.85,814.9,447000,813.75
2016-02-22,809,820,805.2,812.9,69500,811.76
2016-02-23,807,815,794.1,798.55,91800,797.43
2016-02-24,797,806,784.35,788.5,87000,787.39
2016-02-25,795.85,804,783,801.25,365500,800.12
2016-02-26,815,816,794.3,800.55,185500,799.42
2016-02-29,806.6,814.25,776.5,802.95,266600,801.82
2016-03-01,805.4,815,798.4,808.15,129000,807.01
2016-03-02,805,813,801.9,805.35,124500,804.22
2016-03-03,804,808,796.5,804.25,102600,803.12
2016-03-04,800.3,815.55,796.65,805.6,267000,804.47
2016-03-07,805.6,805.6,805.6,805.6,0,804.47
2016-03-08,795,810.05,782,806.7,160200,805.56
2016-03-09,796,807,796,804.6,97600,803.47
2016-03-10,805,808,798.6,802.85,165000,801.72
2016-03-11,792.5,807,777,794.8,380700,793.68
2016-03-14,812,812,785,792.65,158200,791.53
2016-03-15,799.85,808,785,787.2,342200,786.09
2016-03-16,794.9,805,781,803,196600,801.87
2016-03-17,808.9,808.9,797.2,804.8,144300,803.67
2016-03-18,810,815.1,800.45,812.8,246000,811.66
2016-03-21,808.2,815,805.05,812.15,102900,811.01
2016-03-22,808,857.9,808,844.4,754700,843.21
2016-03-23,858.85,864,827.25,835.05,815700,833.87
2016-03-24,835.05,835.05,835.05,835.05,0,833.87
2016-03-25,835.05,835.05,835.05,835.05,0,833.87
2016-03-28,844,844,815.55,830.25,144300,829.08
2016-03-29,831,838.8,821.1,824.65,107700,823.49
2016-03-30,823,840.9,821.55,825.35,254600,824.19
2016-03-31,828.2,830.15,807,827.35,461800,826.18
2016-04-01,829,842,819.15,825.4,263800,824.24
2016-04-04,832,833,817.2,824.75,110500,823.59
2016-04-05,824.05,833.1,817,828.85,231800,827.68
2016-04-06,825,833,819.7,822.35,65800,821.19
2016-04-07,822.05,828.1,816.65,820.6,86200,819.44
2016-04-08,823.35,825.75,817.55,821.2,83100,820.04
2016-04-11,818.4,818.4,778.15,782.2,298900,781.1
2016-04-12,762.35,800.4,762.35,796.25,219800,795.13
2016-04-13,800,805,790.25,797.65,114900,796.53
2016-04-14,797.65,797.65,797.65,797.65,0,796.53
2016-04-15,797.65,797.65,797.65,797.65,0,796.53
2016-04-18,795.5,795.5,774,784.75,100800,783.64
2016-04-19,784.75,784.75,784.75,784.75,0,783.64
2016-04-20,781,787.5,760,767.05,425500,765.97
2016-04-21,767.05,779.4,763,770.8,203700,769.71
2016-04-22,772,772.75,747.55,754.85,132400,753.79
2016-04-25,748.5,781.25,730.3,774.55,591400,773.46
2016-04-26,781,781,750,757.05,446900,755.98
2016-04-27,757,780,750,757.9,126800,756.83
2016-04-28,755,787.45,753.05,764.05,512800,762.97
2016-04-29,764.05,769.25,753.55,762.15,111700,761.08
2016-05-02,762.7,775,752.05,770.7,126500,769.61
2016-05-03,772,785,761.25,775.75,891300,774.66
2016-05-04,773,773.1,733.7,737.45,683400,736.41
2016-05-05,739.9,765,725,758.15,427900,757.08
2016-05-06,763,766.3,748.1,763.1,251500,762.03
2016-05-09,767,794.85,756.25,788.7,483200,787.59
2016-05-10,789.1,789.1,765.3,776.35,206400,775.26
2016-05-11,770,793.85,760,791.35,239800,790.24
2016-05-12,791.3,805,775.55,796.15,514400,795.03
2016-05-13,776,780.9,752,764.1,733200,763.02
2016-05-16,770,778,731.75,751.45,1147500,750.39
2016-05-17,759.4,759.4,739.2,745.35,259700,744.3
2016-05-18,740,745,721.45,735.85,663800,734.81
2016-05-19,740,743,727.45,738.9,545500,737.86
2016-05-20,740,740.9,728.05,731.9,388900,730.87
2016-05-23,732.1,735.55,711.05,715.5,158700,714.49
2016-05-24,701.45,716.8,690,710.1,2540800,709.1
2016-05-25,714,725.75,705,713.8,295700,712.79
2016-05-26,732,732,710.25,716.2,490100,715.19
2016-05-27,720.7,735,712.25,722.3,282800,721.28
2016-05-30,726.8,727.9,709,717.25,347900,716.24
2016-05-31,723.1,759,700,725.6,7143800,724.58
2016-06-01,736.35,750,732.65,739.2,492900,738.16
2016-06-02,743,749,732,743.15,249400,742.1
2016-06-03,743,753.9,717.2,726.6,765200,725.58
2016-06-06,718,742.9,718,725.75,676500,724.73
2016-06-07,725,751.8,723.2,736.95,982400,735.91
2016-06-08,741.7,743.4,728.05,732.1,231300,731.07
2016-06-09,731.85,747,728.4,743.2,260300,742.15
2016-06-10,740,747,735,737.5,102800,736.46
2016-06-13,730,757,729.4,742.25,251200,741.2
2016-06-14,744,749,733.5,736.55,142300,735.51
2016-06-15,740.9,767.55,737,762.1,589400,761.03
2016-06-16,760,774,738.65,743.45,636200,742.4
2016-06-17,746.5,769,746.5,753.1,656900,752.04
2016-06-20,747.95,758.05,745.15,752,249900,750.94
2016-06-21,751.7,754.3,743.5,746,120100,744.95
2016-06-22,744,749.1,739.2,741.6,236800,740.56
2016-06-23,747,747,734,736.15,126700,735.11
2016-06-24,720.05,729,702.8,718.65,217800,717.64
2016-06-27,716,730.2,716,722.15,126300,721.13
2016-06-28,729.9,736.2,722.05,732.65,192300,731.62
2016-06-29,737.2,754.9,721.8,748.7,295100,747.65
2016-06-30,755.8,760,746.15,750.75,895700,749.69
2016-07-01,751.45,768.5,748.5,758.35,319200,757.28
2016-07-04,758.4,775,758.4,772.2,451000,771.11
2016-07-05,781.95,795,774,789.8,654600,788.69
2016-07-06,789.8,789.8,789.8,789.8,0,788.69
2016-07-07,792,794.8,782.25,790.5,310700,789.39
2016-07-08,790.95,794.95,784.65,790,207700,788.89
2016-07-11,794.5,797,784.25,790.25,287100,789.14
2016-07-12,785.05,793.9,776.55,780.05,202800,778.95
2016-07-13,786.95,786.95,775.8,780.4,196600,779.3
2016-07-14,781,804.45,776,790.05,142100,788.94
2016-07-15,794.75,797.15,777.65,783.3,104700,782.2
2016-07-18,784.9,796.6,777.65,790.25,307900,789.14
2016-07-19,792,799.9,777.1,787.7,180200,786.59
2016-07-20,788.7,790.75,775,783.4,74800,782.3
2016-07-21,783.7,790,772.95,777.9,92700,776.8
2016-07-22,777.9,783.95,765.6,777.95,155900,776.85
2016-07-25,785,785,773,778.65,60600,777.55
2016-07-26,776.8,788.4,774.05,783.75,91200,782.65
2016-07-27,783.75,819.8,780.7,816.8,359700,815.65
2016-07-28,820.1,839.3,815.55,822.25,480500,821.09
2016-07-29,822.25,831.25,802.45,812.15,176100,811.01
2016-08-01,816,820,794,797.15,115200,796.03
2016-08-02,798.55,813.9,780.6,784.85,147800,783.74
2016-08-03,784.85,789.05,770.55,774.8,117900,773.71
2016-08-04,780,793.85,771.55,783.2,120300,782.1
2016-08-05,783.5,807.4,781.65,800.35,136700,799.22
2016-08-08,800.5,826,795.55,816.65,147500,815.5
2016-08-09,818.3,847.4,805.2,836,240500,834.82
2016-08-10,838.7,840,822.7,827.1,200700,825.94
2016-08-11,829.95,833.95,809.05,823.6,110200,822.44
2016-08-12,828.7,828.7,774.5,790.35,338200,789.24
2016-08-15,790.35,790.35,790.35,790.35,0,789.24
2016-08-16,805.9,811.95,788.5,795.4,225200,794.28
2016-08-17,802,808.25,795,799.65,98300,798.52
2016-08-18,795.5,810,782.8,799.5,185900,798.37
2016-08-19,805,809.7,795.3,801.3,106200,800.17
2016-08-22,801.9,806.95,791,800.9,92200,799.77
2016-08-23,800.5,802.15,785,795.15,91100,794.03
2016-08-24,790.05,805.9,790.05,802.3,139700,801.17
2016-08-25,803,813.6,795.45,804.7,176100,803.57
2016-08-26,809,824.25,803.05,821.55,160900,820.39
2016-08-29,825,829.4,810.35,816.5,217300,815.35
2016-08-30,818,832.75,816.55,829,149700,829
2016-08-31,829,831.2,805.95,813.25,195000,813.25
2016-09-01,815.1,820.95,806.5,813.95,161200,813.95
2016-09-02,813.95,819.3,812.9,815.05,111700,815.05
2016-09-05,815.05,815.05,815.05,815.05,0,815.05
2016-09-06,816,822.1,809.35,819.5,98800,819.5
2016-09-07,821,831.8,818.85,823.1,102300,823.1
2016-09-08,823,829.1,816.9,825.8,105400,825.8
2016-09-09,826,831.1,811,817.05,127000,817.05
2016-09-12,809.15,821.6,801,814.55,126800,814.55
2016-09-13,814.55,814.55,814.55,814.55,0,814.55
2016-09-14,819.95,828.6,809.1,825.35,119000,825.35
2016-09-15,827,837.9,815.9,819,154900,819
2016-09-16,824.4,892,819,828.75,2514700,828.75
2016-09-19,845.7,884.75,835.65,876.5,1844100,876.5
2016-09-20,880,888.95,862,883.3,989300,883.3
2016-09-21,882,913.95,879.4,890.75,829200,890.75
2016-09-22,895,907.8,865.05,875.45,541300,875.45
2016-09-23,876,896.5,870,888.85,449300,888.85
2016-09-26,894.95,921.8,886,905.85,616400,905.85
2016-09-27,908.9,928,906,913.9,523000,913.9
2016-09-28,919.8,922.3,894,902.2,452200,902.2
2016-09-29,909.95,932.5,871.4,877.35,990400,877.35
2016-09-30,878,910,878,904,631300,904
2016-10-03,903.95,912,881.1,907.85,243300,907.85
2016-10-04,920.6,965.6,920.6,962.3,1112400,962.3
2016-10-05,961.3,965.9,942.3,951.8,378700,951.8
2016-10-06,958.85,959.65,940.05,948.5,228200,948.5
2016-10-07,957.8,977.45,934.3,945.55,543100,945.55
2016-10-10,946,964,937.05,950.4,202000,950.4
2016-10-11,950.4,950.4,950.4,950.4,0,950.4
2016-10-12,950.4,950.4,950.4,950.4,0,950.4
