"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2015-08-05,424.9,435.5,424.9,428.05,1778100,412.22
2015-08-06,431.45,435,423.25,424.85,1502500,409.14
2015-08-07,423.05,426.9,416.1,419.1,1478200,403.61
2015-08-10,420,422.6,401.4,407.05,1275100,392
2015-08-11,406.45,409.8,397.5,401.85,1381800,386.99
2015-08-12,400,402.3,378.2,380.55,1629600,366.48
2015-08-13,383.2,392.1,356.7,362.4,2683000,349
2015-08-14,365,374.8,357,371.5,2077700,357.77
2015-08-17,372.1,376.4,362,370.9,1653200,357.19
2015-08-18,371.1,374.2,363.15,366.85,1382100,353.29
2015-08-19,366,370.8,362.8,365.85,1058400,352.32
2015-08-20,364,365.8,348.1,350.5,1674400,337.54
2015-08-21,344,354.8,338.05,352.6,1793800,339.56
2015-08-24,337.9,339.5,291.2,299.35,3150900,288.28
2015-08-25,307,314.55,281.55,309.55,4253600,298.11
2015-08-26,304.6,342.5,300.1,337.2,4804400,324.73
2015-08-27,339.5,362,330.8,353,3586100,339.95
2015-08-28,358.7,358.7,336,341.8,3034400,329.16
2015-08-31,339.5,347,332.65,341.55,2299700,328.92
2015-09-01,335,339.5,330.05,333,1729600,320.69
2015-09-02,336,344.65,331.2,335.65,1921800,323.24
2015-09-03,339.9,342.9,334.45,339.2,1235800,326.66
2015-09-04,337.5,337.6,320,322.9,2109400,310.96
2015-09-07,325,331.75,320.8,325.85,1542000,313.8
2015-09-08,327.9,332.8,312.5,327.8,1997700,315.68
2015-09-09,335,344.5,330.4,341.05,1667700,328.44
2015-09-10,334,348,328.4,344.6,2034200,331.86
2015-09-11,346.05,352.35,338,341.4,1634100,328.78
2015-09-14,343.8,358.8,341.6,355.9,2047900,342.74
2015-09-15,352.95,355.4,343.05,345.85,1486800,333.06
2015-09-16,345.95,347,337.6,340.5,1482300,335.68
2015-09-17,340.5,340.5,340.5,340.5,0,335.68
2015-09-18,343.2,350,334.95,342.75,2703500,337.89
2015-09-21,340.65,342.25,335.55,338.2,2411100,333.41
2015-09-22,341.35,342.95,324.3,327.25,2071500,322.61
2015-09-23,321.35,338.3,321.35,336.9,1671600,332.13
2015-09-24,333.05,341,327.05,337.35,2768800,332.57
2015-09-25,337.35,337.35,337.35,337.35,0,332.57
2015-09-28,339.7,348.5,337.35,346.35,1557700,341.44
2015-09-29,339.55,353.5,333.15,349.2,2230300,344.25
2015-09-30,351.6,354.6,345.2,347.9,1930700,342.97
2015-10-01,351.4,357.6,346.5,348.3,1769500,343.37
2015-10-02,348.3,348.3,348.3,348.3,0,343.37
2015-10-05,351,359.65,350.25,357.65,1289100,352.58
2015-10-06,359.55,362.75,353.85,357.95,1201900,352.88
2015-10-07,358,370.6,355.2,365.55,2296100,360.37
2015-10-08,369.8,372,361.2,365.35,1835300,360.17
2015-10-09,368.5,370.7,361.65,363.9,937700,358.74
2015-10-12,365,373,361.15,364.45,1454500,359.29
2015-10-13,363.85,375.95,363,372.2,2185800,366.93
2015-10-14,372,377.9,368.2,369.65,1286000,364.41
2015-10-15,371.1,377.7,371,374.45,1185200,369.15
2015-10-16,375,386.75,373,383.5,1956300,378.07
2015-10-19,383,386.7,378.25,382.15,1299500,376.74
2015-10-20,382.5,389.9,380.1,383.2,1675300,377.77
2015-10-21,383,391.3,378.6,382.6,1535800,377.18
2015-10-22,382.6,382.6,382.6,382.6,0,377.18
2015-10-23,386.65,388.5,378.1,381.4,918100,376
2015-10-26,383.9,387.25,379.25,383.55,1107100,378.12
2015-10-27,380,388.4,379.2,386.35,1316100,380.88
2015-10-28,383.25,385.5,379.1,380.85,856500,375.45
2015-10-29,380,384.75,377.25,378.25,1483700,372.89
2015-10-30,380,410.6,377.75,396.45,3808400,390.83
2015-11-02,395.1,397,387.4,390.8,1388500,385.26
2015-11-03,392.7,397.6,388.4,391.3,1688800,385.76
2015-11-04,393.5,404.4,393.15,399.35,2749900,393.69
2015-11-05,399.35,403.1,395.25,398.65,2176400,393
2015-11-06,400.35,402.25,382.5,386.5,1453500,381.02
2015-11-09,380,398.25,372.35,396.15,1642600,390.54
2015-11-10,394.9,399.2,379.1,380.45,1650300,375.06
2015-11-11,380.45,380.45,380.45,380.45,0,375.06
2015-11-12,380.45,380.45,380.45,380.45,0,375.06
2015-11-13,381,408.8,380.4,394.25,3276300,388.66
2015-11-16,391.6,419.45,390.4,417.4,3299800,411.49
2015-11-17,421.2,421.5,407.5,415.95,2571800,410.06
2015-11-18,413.6,421,402.6,405.25,2135200,399.51
2015-11-19,406.6,412.3,401.5,410.55,1543000,404.73
2015-11-20,412.5,427.5,407.35,418.1,2851300,412.18
2015-11-23,419.9,421.45,413.55,416.55,1620500,410.65
2015-11-24,414,424,413.5,418.5,1933500,412.57
2015-11-25,418.5,418.5,418.5,418.5,0,412.57
2015-11-26,420,434.5,419.4,432.85,2721400,426.72
2015-11-27,433.05,440.9,427.5,431.95,2183800,425.83
2015-11-30,428,456.15,426.7,451.15,3441900,444.76
2015-12-01,453.95,454.35,445.6,449.25,1569400,442.89
2015-12-02,450.25,452.6,440.05,445.45,1370900,439.14
2015-12-03,443,463.95,442,456.35,3669300,449.89
2015-12-04,454.8,464,446.2,447.95,2451700,441.6
2015-12-07,451.55,455.8,444.3,449,1512000,442.64
2015-12-08,445.05,451,428.05,430.75,1551800,424.65
2015-12-09,429,434.9,418.9,423.2,2337700,417.2
2015-12-10,425.35,438,419.65,435.55,2507900,429.38
2015-12-11,438.5,438.85,417.15,419.95,2055700,414
2015-12-14,418,424.85,414.35,419.75,1930700,413.8
2015-12-15,421,427.65,418.55,423.15,1596400,417.16
2015-12-16,425.5,443.9,424.1,436.8,2890100,430.61
2015-12-17,439.45,443.45,432.6,442.2,1991800,435.94
2015-12-18,439,453.85,437.3,450.1,2498400,443.72
2015-12-21,449.25,456.7,446.4,454.5,1500500,448.06
2015-12-22,457.4,463.1,450.5,452.2,1816500,445.79
2015-12-23,457,461.9,453.1,457.85,1415100,451.36
2015-12-24,462.75,495.9,462,493.2,8975100,486.21
2015-12-25,493.2,493.2,493.2,493.2,0,486.21
2015-12-28,494.8,502.6,487.55,491.2,3911700,484.24
2015-12-29,493.05,511.9,493,508.5,7008600,501.3
2015-12-30,511.5,517.5,505.2,514.9,5187800,507.61
2015-12-31,516.95,550,512.8,543.95,9870700,536.24
2016-01-01,543.95,595.9,541.45,591.75,10506400,583.37
2016-01-04,589.45,605.5,575.75,599.95,11328300,591.45
2016-01-05,605.25,621.9,599.15,613,10174600,604.32
2016-01-06,613.8,614,588.45,592.4,7986400,584.01
2016-01-07,578,584.9,560.4,565.45,6431800,557.44
2016-01-08,575.7,589.95,574.1,581.2,7163600,572.97
2016-01-11,579.9,593,573.15,584,6439300,575.73
2016-01-12,585.7,590.5,562.85,572.5,4685600,564.39
2016-01-13,580,582.2,525.35,545.6,9193800,537.87
2016-01-14,534.8,541.8,517.4,532.25,5270700,524.71
2016-01-15,537,553.9,482.9,492.9,7774100,485.92
2016-01-18,490,506.65,464.6,471.3,7328200,464.62
2016-01-19,477.2,488.8,461.5,475.4,7512800,468.67
2016-01-20,464.4,466,436.15,454.7,5568600,448.26
2016-01-21,462.2,468.95,445.25,456.85,6878100,450.38
2016-01-22,469,469,451.75,459.5,5085300,452.99
2016-01-25,464,466,434.3,438.25,4138300,432.04
2016-01-26,438.25,438.25,438.25,438.25,0,432.04
2016-01-27,440.45,454,435.6,451.3,5344700,444.91
2016-01-28,453.25,464,447.65,456.95,8984300,450.48
2016-01-29,457,477.8,452.5,471.2,5353200,464.52
2016-02-01,475.45,475.45,456.25,460.7,3210300,454.17
2016-02-02,461.2,471,444,449.15,4053300,442.79
2016-02-03,441,448,431.1,435.35,3830700,429.18
2016-02-04,442.3,443.8,400.3,408.75,5639200,402.96
2016-02-05,420,442.9,413,437.2,6872600,431.01
2016-02-08,438,446.5,427.95,432.15,4507300,426.03
2016-02-09,422.25,432.25,420.15,423.35,3197800,417.35
2016-02-10,422.5,444.5,421.5,441.9,6949300,435.64
2016-02-11,444.5,446.8,398.5,402.95,5646800,397.24
2016-02-12,407.15,414,387.5,402.85,4963300,397.14
2016-02-15,412,434.8,410,424.7,3019000,418.68
2016-02-16,428.7,432.8,403.55,404.85,3934700,399.11
2016-02-17,407.1,421.9,394,418.05,4743600,412.13
2016-02-18,425.75,429.35,405.35,413.75,3593600,407.89
2016-02-19,411.95,422,411.15,418.2,2799500,412.28
2016-02-22,419.8,426,418.35,422.25,2406800,416.27
2016-02-23,422.65,427.8,410.25,413.35,3570600,407.49
2016-02-24,410.15,418.7,408,411.05,2570200,405.23
2016-02-25,414.9,423.05,405.75,407.95,4828300,402.17
2016-02-26,413.1,414.75,402,410.9,2884400,405.08
2016-02-29,413.25,419.9,396.8,409.85,3450700,404.04
2016-03-01,412.1,431,409.8,428.9,3449600,422.82
