"Date","JPASSOCIAT.NS.Open","JPASSOCIAT.NS.High","JPASSOCIAT.NS.Low","JPASSOCIAT.NS.Close","JPASSOCIAT.NS.Volume","JPASSOCIAT.NS.Adjusted"
2016-05-10,6.9,6.95,6.6,6.6,23344500,6.6
2016-05-11,6.5,6.85,6.4,6.6,26333300,6.6
2016-05-12,6.6,6.65,6.45,6.55,13774800,6.55
2016-05-13,6.6,6.6,6.4,6.45,19690500,6.45
2016-05-16,6.45,6.5,6.3,6.45,15451800,6.45
2016-05-17,6.5,6.6,6.4,6.5,8200800,6.5
2016-05-18,6.45,6.55,6.35,6.45,7846100,6.45
2016-05-19,6.45,6.5,6.3,6.35,8341300,6.35
2016-05-20,6.4,6.4,6.2,6.25,5991300,6.25
2016-05-23,6.25,6.3,6.05,6.05,16023800,6.05
2016-05-24,6.1,6.1,5.65,5.85,20261400,5.85
2016-05-25,5.9,6.1,5.85,6,20303700,6
2016-05-26,6.05,6.05,5.5,5.6,52805000,5.6
2016-05-27,5.6,5.75,5.5,5.7,18368100,5.7
2016-05-30,5.7,5.75,5.55,5.65,10594400,5.65
2016-05-31,5.65,5.65,5.45,5.5,22363400,5.5
2016-06-01,5.55,5.55,5.3,5.4,19904800,5.4
2016-06-02,5.45,5.5,5.3,5.4,15243700,5.4
2016-06-03,5.45,5.7,5.35,5.6,36647800,5.6
2016-06-06,5.6,5.75,5.5,5.65,17473900,5.65
2016-06-07,5.65,5.65,5.55,5.6,6560100,5.6
2016-06-08,5.6,5.65,5.5,5.55,19626300,5.55
2016-06-09,5.55,5.75,5.5,5.7,35123900,5.7
2016-06-10,5.7,6.3,5.6,6.1,76806300,6.1
2016-06-13,6.05,7.15,6,6.85,64413200,6.85
2016-06-14,7.05,8.05,7,7.95,114189300,7.95
2016-06-15,8.05,8.1,7.25,7.6,79228300,7.6
2016-06-16,7.5,7.65,7.15,7.55,39716200,7.55
2016-06-17,7.65,7.9,7.3,7.7,55081600,7.7
2016-06-20,7.4,7.7,7.4,7.65,21807300,7.65
2016-06-21,7.65,8.15,7.55,8,35568000,8
2016-06-22,8,8.1,7.65,7.75,30237000,7.75
2016-06-23,7.75,7.9,7.55,7.85,20445400,7.85
2016-06-24,7.5,7.5,6.85,7.25,49450200,7.25
2016-06-27,7.15,7.6,7.15,7.45,24354200,7.45
2016-06-28,7.5,7.65,7.4,7.5,19806900,7.5
2016-06-29,7.55,7.95,7.5,7.85,46373000,7.85
2016-06-30,7.95,9,7.95,8.85,117891100,8.85
2016-07-01,8.95,9,8.45,8.55,55717500,8.55
2016-07-04,8.65,9.3,8.65,9.1,70841300,9.1
