"Date","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
2016-02-17,139.85,139.85,137.35,139.6,4390200,137.77
2016-02-18,140.1,141.75,139,139.85,4938300,138.02
2016-02-19,139.8,142,139.05,141,3556700,139.15
2016-02-22,141,141.5,138.35,139.65,1290300,137.82
2016-02-23,140,140.3,136.7,137.1,2179000,135.3
2016-02-24,138,141,137.65,139.7,6405700,137.87
2016-02-25,140.1,140.25,131.05,131.75,10716300,130.02
2016-02-26,133.5,135.9,132,133.65,7037400,131.9
2016-02-29,134.35,134.35,129.2,130.05,6460700,128.35
2016-03-01,131,134.35,130.25,133.75,8033300,132
2016-03-02,135,138.2,134.05,135.4,7622200,133.63
2016-03-03,136.5,136.9,134.05,135.65,3969800,133.87
2016-03-04,136.4,139.15,135.45,138.65,16440900,136.83
2016-03-07,138.65,138.65,138.65,138.65,0,136.83
2016-03-08,139.5,139.7,136.1,137.7,11324000,135.9
2016-03-09,136.9,140.2,136.6,139.75,4097300,137.92
2016-03-10,140.1,140.9,138.1,139.65,2088800,137.82
2016-03-11,139.65,140.4,137.65,138.2,2635600,136.39
2016-03-14,138.6,139,137.7,138.6,2488000,136.78
2016-03-15,138.15,140,138.15,138.95,6556000,137.13
2016-03-16,139.4,140,137.5,138.75,3470700,136.93
2016-03-17,139.25,140.25,136.9,138,4223800,136.19
2016-03-18,138.5,139.1,136.5,136.85,5172600,135.06
2016-03-21,136.55,138.45,136.25,138,2629200,136.19
2016-03-22,138,139.35,137.5,138.2,3728600,136.39
2016-03-23,137.3,139.15,136.95,137.45,6494300,135.65
2016-03-24,137.45,137.45,137.45,137.45,0,135.65
2016-03-25,137.45,137.45,137.45,137.45,0,135.65
2016-03-28,137.9,140,136.5,139.1,4889000,137.28
2016-03-29,140,141,137.55,138.15,6456300,136.34
2016-03-30,138.9,140.35,138.35,139.75,3261300,137.92
2016-03-31,138.5,140.45,138.5,139.1,8840100,137.28
2016-04-01,139.8,140,138.1,138.3,2213500,136.49
2016-04-04,138.75,140.1,138.3,138.6,3178000,136.78
2016-04-05,139.8,140.8,138.7,139.05,4356500,137.23
2016-04-06,139.85,141.3,139.35,139.7,5860200,137.87
2016-04-07,140.65,140.9,139.6,140.2,6979800,138.36
2016-04-08,140.25,141.15,140.25,140.9,2325100,139.05
2016-04-11,140.65,142.95,140.55,142.25,6952800,140.39
2016-04-12,142,145.25,142,143.15,5007000,141.28
2016-04-13,144.35,145.35,143.9,145,5759800,143.1
2016-04-14,145,145,145,145,0,143.1
2016-04-15,145,145,145,145,0,143.1
2016-04-18,145,146.75,142.75,145.95,4132900,144.04
2016-04-19,145.95,145.95,145.95,145.95,0,144.04
2016-04-20,145.7,149.9,145.15,148,4340200,146.06
2016-04-21,148.35,149.55,145.1,146.15,3552200,144.24
2016-04-22,146.3,147.3,144.3,146.05,2430400,144.14
2016-04-25,146.1,146.1,142.55,143.8,2027800,141.92
2016-04-26,144.45,146.25,143.05,145.15,5042400,143.25
2016-04-27,145.3,146,143.65,144.35,1787200,142.46
2016-04-28,144.2,145.45,141.35,141.85,5292200,139.99
2016-04-29,142.25,143.85,140.5,143.4,2465500,141.52
2016-05-02,143,144,141.6,142.85,1903300,140.98
2016-05-03,143,146.8,143,145.2,2571900,143.3
2016-05-04,144.8,145.1,142,142.75,2495000,140.88
2016-05-05,143,144.3,142.1,143.25,1558200,141.37
2016-05-06,143.15,143.35,140.5,142.45,2089100,140.58
2016-05-09,142.5,144.15,141.65,143.5,2827700,141.62
2016-05-10,143.15,143.75,141,141.85,4364200,139.99
2016-05-11,140.8,142.2,139.5,141.45,2573000,139.6
2016-05-12,141.9,144.35,141.2,143.9,2743600,142.02
2016-05-13,143.3,145.2,142.4,144.75,3779900,142.85
2016-05-16,144.95,145.9,143,144.45,2531400,142.56
2016-05-17,146,146,142.6,144.9,2674400,143
2016-05-18,144,144.9,142.7,143.05,1447300,141.18
2016-05-19,143.3,145.6,143.3,144.4,3394700,142.51
2016-05-20,144.6,145.15,143.7,144.8,1718900,142.9
2016-05-23,145.6,148.9,145,148.15,5677500,146.21
2016-05-24,149,149.25,146.2,146.7,1994000,144.78
2016-05-25,148,150,147.05,149.7,4051100,147.74
2016-05-26,150,151.4,148.6,150.6,6383400,148.63
2016-05-27,151.4,152.4,148.8,150.85,4294900,148.87
2016-05-30,151.1,152.95,149.35,151.75,3402800,149.76
2016-05-31,152,152.35,149.55,150,2417000,148.04
2016-06-01,150.6,150.6,148.4,148.9,2823100,146.95
2016-06-02,148.9,150.6,148.1,150.2,2222400,148.23
2016-06-03,150.6,150.85,149.25,150.4,1942500,148.43
2016-06-06,150.2,150.7,148.55,149.25,1347600,147.3
2016-06-07,149.4,150.95,149.25,149.9,2121400,147.94
2016-06-08,150,152.9,149.3,152.55,2140000,150.55
2016-06-09,152.7,154.45,152.35,152.8,2542800,150.8
2016-06-10,152.9,155.15,152.85,154.4,5056300,152.38
2016-06-13,153.75,153.75,151.35,151.8,4049600,149.81
2016-06-14,151.75,152.4,150.3,150.55,1639600,148.58
2016-06-15,151.15,154.75,151.15,154.4,2974300,152.38
2016-06-16,154.4,156.3,151.85,154.6,3029000,152.58
2016-06-17,155,157.95,152.9,157.05,5054400,154.99
2016-06-20,157,157.5,155.25,156.65,2946100,154.6
2016-06-21,156.55,157.3,155.05,156,2968000,153.96
2016-06-22,156.05,156.7,154.6,155.6,2698500,153.56
2016-06-23,155.5,157.85,152.85,156.65,2828100,154.6
2016-06-24,153.45,156.15,150.6,155.8,3381100,153.76
2016-06-27,153.05,157,153,154,2880600,151.98
2016-06-28,154.55,156,153.65,155.45,3286100,153.41
2016-06-29,155.8,160.35,155.55,159.25,5534200,157.16
2016-06-30,160,163.85,159.3,163.1,10516600,160.96
2016-07-01,164,166.4,163,165.15,5602900,162.99
2016-07-04,166.7,167.3,164.65,165.4,3236000,163.23
2016-07-05,165.3,165.8,160.8,161.25,3099500,159.14
2016-07-06,161.25,161.25,161.25,161.25,0,159.14
2016-07-07,161,164.15,160.2,163.35,3325300,161.21
2016-07-08,163.5,165.4,161.6,164.45,4389600,162.3
2016-07-11,166.1,171.15,165.95,166.6,6262500,164.42
2016-07-12,167,169,166.05,166.6,5165000,164.42
2016-07-13,166.85,168.45,160.7,161.85,6247500,159.73
2016-07-14,162.55,165.6,161.9,165.05,4178500,162.89
2016-07-15,166.05,166.4,163.1,164.25,3729300,162.1
2016-07-18,164.6,165.8,162.6,163.2,2189000,161.06
2016-07-19,163.3,167,163,166.4,3368200,164.22
2016-07-20,167,170,166.9,168.35,3977600,166.15
