"Date","ASHOKLEY.NS.Open","ASHOKLEY.NS.High","ASHOKLEY.NS.Low","ASHOKLEY.NS.Close","ASHOKLEY.NS.Volume","ASHOKLEY.NS.Adjusted"
2015-09-14,88.35,89.85,87.7,89.5,11357200,88.592
2015-09-15,89.6,89.95,86.6,87.05,11417600,86.166
2015-09-16,88.35,88.6,86.4,87.2,8721200,86.315
2015-09-17,87.2,87.2,87.2,87.2,0,86.315
2015-09-18,88.8,89.9,87.65,87.95,12120700,87.057
2015-09-21,87.2,88.6,87,88.15,8831700,87.255
2015-09-22,89.05,92.3,88,88.8,31852600,87.899
2015-09-23,87.95,91.1,87.25,90.6,13843700,89.68
2015-09-24,90.8,91.9,90.05,91.1,14527400,90.175
2015-09-25,91.1,91.1,91.1,91.1,0,90.175
2015-09-28,91.85,92.9,90.35,90.55,11532500,89.631
2015-09-29,89.3,91.75,87.5,90.7,16672500,89.779
2015-09-30,91.45,92.5,91.2,92.25,12243200,91.314
2015-10-01,93.45,94.9,92.8,94.25,20135600,93.293
2015-10-02,94.25,94.25,94.25,94.25,0,93.293
2015-10-05,95.3,96.2,93.9,94.7,15570000,93.739
2015-10-06,95.35,95.45,94.05,94.35,14090500,93.392
2015-10-07,94.5,94.5,92.8,93.05,16386100,92.106
2015-10-08,93.75,93.8,91,91.65,11058900,90.72
2015-10-09,92.25,92.9,91.15,92.2,10328200,91.264
2015-10-12,92.5,94.35,92.2,93.85,11276800,92.897
2015-10-13,94.3,95.1,93.3,94.05,11328600,93.095
2015-10-14,93.9,95.1,93.65,94.85,11725200,93.887
2015-10-15,95.65,95.75,94.7,95,10537000,94.036
2015-10-16,95.3,96.5,94.9,96.15,9945700,95.174
2015-10-19,96.35,96.8,95.7,96.05,7268700,95.075
2015-10-20,95.9,97.2,95.75,96.25,9611700,95.273
2015-10-21,96.5,97.2,94.7,95.8,9529100,94.828
2015-10-22,95.8,95.8,95.8,95.8,0,94.828
2015-10-23,96.7,96.7,94.6,95,9576700,94.036
2015-10-26,95.45,95.45,92.25,92.7,8421300,91.759
2015-10-27,92.45,93.75,91.2,92.9,9026700,91.957
2015-10-28,93,93.1,90.8,91,17677300,90.076
2015-10-29,90.95,94.1,89.5,93.8,11474700,92.848
2015-10-30,94,95.05,92.7,93.7,14007600,92.749
2015-11-02,94,94.65,89.3,90.3,18444900,89.383
2015-11-03,90.5,91.1,89.2,90.3,15006300,89.383
2015-11-04,91.8,93.5,91.5,92.2,19743300,91.264
2015-11-05,91,91.5,86.4,86.8,47761100,85.919
2015-11-06,85.6,87.95,84.1,87.6,18725000,86.711
2015-11-09,83,89.5,82.75,88.95,13643200,88.047
2015-11-10,88.7,90.2,88.25,89.5,9965700,88.592
2015-11-11,89.5,89.5,89.5,89.5,0,88.592
2015-11-12,89.5,89.5,89.5,89.5,0,88.592
2015-11-13,90.5,91.4,89.6,90.3,15518400,89.383
2015-11-16,90.3,91.15,90,90.7,7951500,89.779
2015-11-17,90.95,92.45,90.8,91.95,13325400,91.017
2015-11-18,92.3,92.85,91.25,91.7,9202900,90.769
2015-11-19,92.9,93.4,91.95,93.1,8910800,92.155
2015-11-20,93,93.9,92.5,93.65,10688100,92.699
2015-11-23,93.65,96.35,93.65,96.1,14312500,95.125
2015-11-24,96.25,96.8,94.3,94.8,10695100,93.838
2015-11-25,94.8,94.8,94.8,94.8,0,93.838
2015-11-26,94.9,95.5,93.65,94.1,19628600,93.145
2015-11-27,97,98,95.5,97.6,19926500,96.609
2015-11-30,98.4,99.65,92.85,94.4,133420700,93.442
2015-12-01,95.5,95.5,93,93.4,20979900,92.452
2015-12-02,93.5,93.95,92.1,92.85,18001100,91.908
2015-12-03,92.5,93.3,91.55,91.95,14427000,91.017
2015-12-04,91.9,92.9,90.05,90.25,16631300,89.334
2015-12-07,91,91.35,89.35,90.05,8784200,89.136
2015-12-08,90.1,91.25,89.3,89.6,11658900,88.691
2015-12-09,89.55,89.8,86.25,86.55,10153600,85.672
2015-12-10,87.2,89.4,85.8,89.1,11833200,88.196
2015-12-11,89.75,89.75,85.15,86.35,13265400,85.474
2015-12-14,85.5,87.15,84.7,86.05,9519300,85.177
2015-12-15,86.5,87.65,85.85,87.3,8691000,86.414
2015-12-16,87.85,89.15,87.2,88.1,9014800,87.206
2015-12-17,88.95,89.45,87.9,89.2,5855100,88.295
2015-12-18,88.5,90.85,88.5,89.65,15298200,88.74
2015-12-21,89.6,90.45,88.65,89.35,4709600,88.443
2015-12-22,89.8,89.9,88.1,88.4,4712800,87.503
2015-12-23,88.85,88.85,87.4,87.9,5069000,87.008
2015-12-24,88.4,88.45,87.3,87.9,4177200,87.008
2015-12-25,87.9,87.9,87.9,87.9,0,87.008
2015-12-28,88.3,89.5,87.75,88.95,5336600,88.047
2015-12-29,89.45,89.95,88.8,89.75,7522400,88.839
2015-12-30,90,90.55,89.25,89.5,4351100,88.592
2015-12-31,89.6,90.05,87.7,87.9,8625000,87.008
2016-01-01,87.85,89,87.6,88.8,3473600,87.899
2016-01-04,90.75,92.3,90.2,92,17502100,91.066
2016-01-05,93,93.35,92.35,93.1,10380100,92.155
2016-01-06,93.25,94.15,92.05,92.7,8151600,91.759
2016-01-07,91.9,92.4,90.35,91.35,9414900,90.423
2016-01-08,92.1,92.6,90.3,90.75,6963100,89.829
2016-01-11,92,92.9,90.3,92.4,9615800,91.462
2016-01-12,93.35,93.95,91.2,92.1,6568700,91.165
2016-01-13,93.05,93.2,86.4,90.2,11681000,89.285
2016-01-14,88,90.75,87.15,88.6,8154300,87.701
2016-01-15,89.3,89.65,84.5,85.1,6945200,84.236
2016-01-18,85.2,85.35,81.5,83.1,13401300,82.257
2016-01-19,83.4,87.15,83.3,86.8,11441800,85.919
2016-01-20,85.3,85.7,82.1,83.45,9819800,82.603
2016-01-21,85,85.25,82.25,83.6,7742600,82.751
2016-01-22,85,86.5,84.2,85.7,7579700,84.83
2016-01-25,86.9,87.25,86.1,86.75,6908400,85.87
2016-01-26,86.75,86.75,86.75,86.75,0,85.87
2016-01-27,87.2,88.8,85.8,88.3,10218000,87.404
2016-01-28,88.5,89.5,87.7,88.15,11485100,87.255
2016-01-29,88.4,89.9,87.75,89.6,6357100,88.691
2016-02-01,89.8,92.5,89.6,91.5,11659500,90.571
2016-02-02,91.8,93,90,90.5,6964200,89.581
2016-02-03,88.55,89.9,85.65,86.85,9216400,85.969
2016-02-04,88.3,89.2,86.8,87.6,9110000,86.711
2016-02-05,88.05,91.1,87.65,90.6,8355400,89.68
2016-02-08,90.85,92.45,88.65,89.2,6311100,88.295
2016-02-09,88,89.1,86.8,88.25,6688500,87.354
2016-02-10,87.8,88.2,85.35,87.35,8182300,86.463
2016-02-11,87.95,88,77.7,80.9,17442900,80.079
2016-02-12,84.5,84.5,80.35,83.2,19614600,82.356
2016-02-15,85,90,84.7,89.65,12444800,88.74
2016-02-16,90.5,91,86.9,87.25,8551100,86.364
2016-02-17,87.5,90.5,85.1,90,11233900,89.087
2016-02-18,90.9,91.1,86.75,89.8,9993400,88.889
2016-02-19,89.35,91.5,88.85,91.2,8183600,90.274
2016-02-22,91.9,92.7,91.3,92.2,8514700,91.264
2016-02-23,92.35,92.6,88.85,89.2,10340800,88.295
2016-02-24,88.55,89.2,87.25,87.5,10772800,86.612
2016-02-25,88,88.25,85.75,85.95,12736800,85.078
2016-02-26,87.4,87.6,84.85,85.55,9116600,84.682
2016-02-29,85.85,89,84.45,87.65,16275400,86.76
2016-03-01,88.2,91.35,88.2,91.05,17582900,90.126
2016-03-02,92.5,94.35,92,93.45,12440600,92.502
2016-03-03,94.2,95.05,92.3,94.25,10892500,93.293
