"Date","GODREJIND.NS.Open","GODREJIND.NS.High","GODREJIND.NS.Low","GODREJIND.NS.Close","GODREJIND.NS.Volume","GODREJIND.NS.Adjusted"
2016-02-25,311.89999,317.70001,304.29999,305.5,506500,303.8782
2016-02-26,307.10001,313.5,301.10001,301.95001,316800,300.34705
2016-02-29,301.5,302,290,291.79999,347100,290.25091
2016-03-01,293.85001,304.20001,290,302.45001,322600,300.8444
2016-03-02,305,316.75,304.10001,315.25,411000,313.57644
2016-03-03,317.39999,317.39999,312,313.35001,116800,311.68653
2016-03-04,314.20001,322.95001,313,319.89999,203800,318.20174
2016-03-07,319.89999,319.89999,319.89999,319.89999,0,318.20174
2016-03-08,319.45001,326.35001,318.20001,323.14999,293100,321.43449
2016-03-09,320,327.39999,318.60001,326.35001,108900,324.61752
2016-03-10,322.54999,334,322.39999,332.29999,333900,330.53591
2016-03-11,333,333.70001,327.25,331.29999,327800,329.54122
2016-03-14,331.25,338.5,328,329.64999,266900,327.89999
2016-03-15,327.89999,331,320,328.70001,169100,328.70001
2016-03-16,328.95001,334.39999,325.54999,332.10001,222500,332.10001
2016-03-17,334.5,341.39999,332.20001,339.5,202300,339.5
2016-03-18,340.20001,344.29999,337.25,339.79999,203200,339.79999
2016-03-21,337.35001,344.14999,336.75,341.79999,259400,341.79999
2016-03-22,344.79999,347.5,338.10001,345.10001,340800,345.10001
2016-03-23,344.89999,352,341.04999,347.10001,138800,347.10001
2016-03-24,347.10001,347.10001,347.10001,347.10001,0,347.10001
2016-03-25,347.10001,347.10001,347.10001,347.10001,0,347.10001
2016-03-28,345.14999,349,344,347.70001,141300,347.70001
2016-03-29,345.5,351.75,342.54999,348.45001,251300,348.45001
2016-03-30,350.95001,371,345.29999,361.35001,285700,361.35001
2016-03-31,366.39999,369.45001,347.54999,355,592600,355
2016-04-01,354.79999,359.75,345,357.04999,492200,357.04999
2016-04-04,355,359.60001,354.14999,358.5,141400,358.5
2016-04-05,355,359.70001,351.25,354.60001,129200,354.60001
2016-04-06,351,361.35001,351,354.70001,171600,354.70001
2016-04-07,354.70001,362.79999,354.29999,356.5,122500,356.5
2016-04-08,354.10001,366,354.10001,365,165800,365
2016-04-11,366.10001,370.89999,363.25,366.35001,250100,366.35001
2016-04-12,366.29999,366.89999,361.10001,362.85001,109300,362.85001
2016-04-13,366.89999,375,363.54999,369,322200,369
2016-04-14,369,369,369,369,0,369
2016-04-15,369,369,369,369,0,369
2016-04-18,369,379.95001,363.14999,374.89999,239400,374.89999
2016-04-19,374.89999,374.89999,374.89999,374.89999,0,374.89999
2016-04-20,375.35001,377.64999,369.25,372.54999,239900,372.54999
2016-04-21,370.35001,377.29999,364.54999,367.60001,237200,367.60001
