"Date","HDFCBANK.NS.Open","HDFCBANK.NS.High","HDFCBANK.NS.Low","HDFCBANK.NS.Close","HDFCBANK.NS.Volume","HDFCBANK.NS.Adjusted"
2015-11-26,1059,1067,1051.1,1063.95,2197800,1055.29
2015-11-27,1064.85,1082.2,1060.95,1079.4,1731200,1070.61
2015-11-30,1079.2,1081,1069.7,1077.75,1311900,1068.98
2015-12-01,1077.05,1084.9,1073.5,1083,473800,1074.18
2015-12-02,1090,1092.7,1071.85,1077.8,640500,1069.03
2015-12-03,1072.5,1081,1067.3,1076.75,951900,1067.98
2015-12-04,1073.6,1073.6,1056,1058.9,1464900,1050.28
2015-12-07,1068.2,1071.1,1061.1,1061.95,1453700,1053.3
2015-12-08,1061,1061.9,1047,1049.25,1225600,1040.71
2015-12-09,1047.1,1057,1044.85,1047.45,972600,1038.92
2015-12-10,1045,1063.2,1042.3,1060.6,1628500,1051.97
2015-12-11,1060,1060.6,1042,1046.35,758400,1037.83
2015-12-14,1041,1059.85,1040.1,1055.05,1469500,1046.46
2015-12-15,1053,1062.45,1045.3,1059.45,1139300,1050.83
2015-12-16,1063,1073.35,1059.35,1067.3,1710600,1058.61
2015-12-17,1073.9,1084,1065,1080.25,1219500,1071.46
2015-12-18,1085,1085,1068.5,1073,793000,1064.26
2015-12-21,1071.75,1079.9,1069.05,1075.4,774300,1066.65
2015-12-22,1074.5,1076.5,1064,1066.45,607300,1057.77
2015-12-23,1072.6,1077.95,1069.15,1074.1,753400,1065.36
2015-12-24,1076.2,1076.4,1068.3,1074,536500,1065.26
2015-12-25,1074,1074,1074,1074,0,1065.26
2015-12-28,1074,1079.9,1067.75,1077.25,1938800,1068.48
2015-12-29,1078.95,1079.85,1071.3,1077.95,1057900,1069.17
2015-12-30,1080,1081.95,1072.55,1074.3,528100,1065.55
2015-12-31,1075,1084.9,1075,1082.15,2322500,1073.34
2016-01-01,1082.4,1090.25,1076.15,1088.75,798700,1079.89
2016-01-04,1084,1084,1068.1,1070.5,1296800,1061.79
2016-01-05,1070.2,1074.8,1061.35,1062.4,790200,1053.75
2016-01-06,1056.65,1076.75,1056.65,1067.1,1041300,1058.41
2016-01-07,1060.1,1064.9,1049.7,1056.2,1513800,1047.6
2016-01-08,1061.95,1064.5,1057.25,1062.35,872000,1053.7
2016-01-11,1052.05,1061,1045.3,1058.6,822200,1049.98
2016-01-12,1063.9,1063.9,1043.5,1046.95,1064600,1038.43
2016-01-13,1052,1062.75,1037,1060.15,1128700,1051.52
