"Date","ASIANPAINT.NS.Open","ASIANPAINT.NS.High","ASIANPAINT.NS.Low","ASIANPAINT.NS.Close","ASIANPAINT.NS.Volume","ASIANPAINT.NS.Adjusted"
2015-09-04,824,824,792,812.85,1101700,804.387
2015-09-07,815,819.95,785.05,788,874300,779.7958
2015-09-08,791.1,800,778,791.5,1489800,783.2593
2015-09-09,800,822.9,796,821.15,1412900,812.6007
2015-09-10,817,817,800.3,807.95,887200,799.5381
2015-09-11,815,824.9,810.55,816.15,1034400,807.6527
2015-09-14,822,842.4,819,840.25,1115100,831.5018
2015-09-15,840.1,848,823.6,831.1,832500,822.447
2015-09-16,840,840,818.1,823.95,665200,815.3715
2015-09-17,823.95,823.95,823.95,823.95,0,815.3715
2015-09-18,826,849.9,824,841.05,1139200,832.2934
2015-09-21,838.3,838.3,824,829.7,688500,821.0616
2015-09-22,831.2,839.4,802.1,804.7,826200,796.3219
2015-09-23,795.1,804,786.1,794.1,1281200,785.8323
2015-09-24,794.9,814,785.35,806.35,1503100,797.9547
2015-09-25,806.35,806.35,806.35,806.35,0,797.9547
2015-09-28,810,813,790.05,794.45,739100,786.1786
2015-09-29,783,809.9,780,804.8,1366100,796.4209
2015-09-30,808,844.9,807.9,841.6,1734200,832.8377
2015-10-01,845.8,849,836.15,839.65,633600,830.9081
2015-10-02,839.65,839.65,839.65,839.65,0,830.9081
2015-10-05,843,856.95,842.4,855.4,882600,846.4941
2015-10-06,859.9,864.1,849.7,853.7,779600,844.8118
2015-10-07,855,868,852.2,865.05,983600,856.0436
2015-10-08,865,879.95,860,874.15,952500,865.0489
2015-10-09,876.5,884.3,846.2,853.8,1362100,844.9107
2015-10-12,857,865,846.05,859.25,773500,850.304
2015-10-13,862.7,867.8,857.25,865.35,800700,856.3404
2015-10-14,863.9,869.5,860.05,862.25,404300,853.2727
2015-10-15,866,878.25,864.2,870.05,623000,860.9915
2015-10-16,871.95,885.2,865.6,882.5,658100,873.3119
2015-10-19,882.5,892.4,867,879.25,1247500,870.0957
2015-10-20,874,888.9,872.55,875.45,1806900,866.3353
2015-10-21,874,881.55,847.95,856.25,1442200,847.3352
2015-10-22,856.25,856.25,856.25,856.25,0,847.3352
2015-10-23,863,866.1,850.4,858.6,2540800,849.6607
2015-10-26,830.05,844,811.2,817.7,3455800,809.1866
2015-10-27,818,829.9,818,827.1,1247700,818.4887
2015-10-28,829.5,838,823.6,828.35,1108400,821.9119
2015-10-29,831,834.8,820.4,829.35,1500400,822.9041
2015-10-30,835.6,840,826.4,830.65,810400,824.194
2015-11-02,831,837,825.5,830.1,716700,823.6483
2015-11-03,832,832.7,812.05,814.2,1599100,807.8719
2015-11-04,814.5,822.5,800.55,802.2,1783900,795.9651
2015-11-05,807,811.5,797.15,805.85,1016100,799.5867
2015-11-06,808.55,816,800,801.2,918500,794.9729
2015-11-09,790.9,818.4,784.25,816.4,1163000,810.0548
2015-11-10,814.7,816,796.8,797.8,751800,791.5993
2015-11-11,797.8,797.8,797.8,797.8,0,791.5993
2015-11-12,797.8,797.8,797.8,797.8,0,791.5993
2015-11-13,807,808,792.5,800.4,765900,794.1791
2015-11-16,796,809.95,795.2,800.95,604500,794.7249
2015-11-17,807.45,813.25,800.35,807.65,500200,801.3728
2015-11-18,807.95,824.5,807,821.75,1253200,815.3632
2015-11-19,827,833.8,819.1,823.7,1038000,817.298
2015-11-20,821.4,831.8,818.55,829.2,712300,822.7553
2015-11-23,838.2,852,835,850.3,1475700,843.6913
2015-11-24,850,861.75,846.2,856.6,771300,849.9423
2015-11-25,856.6,856.6,856.6,856.6,0,849.9423
2015-11-26,861,865.95,851.8,861.85,678200,855.1515
2015-11-27,862.6,864,852,859.1,444300,852.4229
2015-11-30,859,859,834,838.5,1679700,831.983
2015-12-01,843,848,831.65,844.6,720200,838.0356
2015-12-02,847.95,867.2,844.8,848.55,980900,841.9549
2015-12-03,849,849.2,839,842.4,540400,835.8527
2015-12-04,841.5,841.5,829.45,834.7,779500,828.2126
2015-12-07,842,873.85,841,871.45,1602600,864.6769
2015-12-08,874.05,877.4,857.2,860.75,1058000,854.0601
2015-12-09,866.45,866.45,836.95,840,751000,833.4713
2015-12-10,844.5,861.2,842.2,859.2,636100,852.5221
2015-12-11,860.95,863.55,848.75,858.4,780600,851.7284
2015-12-14,860,878.4,853,875.45,889700,868.6458
2015-12-15,878.5,880,866.45,878.55,861700,871.7217
2015-12-16,880,883.95,859.1,866.5,900300,859.7654
2015-12-17,871.5,878.5,864,876.1,716200,869.2907
2015-12-18,874.5,885.9,868,879.45,1098500,872.6147
2015-12-21,879,884,866.7,873.5,896600,866.711
2015-12-22,874,887,873.55,880.95,663200,874.1031
2015-12-23,882.95,883.95,874.75,878.95,350200,872.1186
2015-12-24,880.5,883.9,873.55,881.8,403100,874.9465
2015-12-25,881.8,881.8,881.8,881.8,0,874.9465
2015-12-28,882,886.25,876.75,881.05,633200,874.2023
2015-12-29,883.7,885,878.6,880.1,602100,873.2597
2015-12-30,881.15,883,875,878.15,450300,871.3249
2015-12-31,879.95,886.95,875,883.55,526800,876.6829
2016-01-01,882,885.6,876.9,878.75,294000,871.9202
2016-01-04,876.2,892.45,871.7,880.8,709100,873.9542
2016-01-05,881.3,905,881.3,900.65,1372700,893.65
2016-01-06,904.5,911.9,884,886.4,1716400,879.5107
2016-01-07,883,891.55,869,872.35,990300,865.5699
2016-01-08,879,881.95,866.6,874.6,886000,867.8024
2016-01-11,870,884,861.6,873.85,801100,867.0582
2016-01-12,882,885.5,870.2,872.9,998400,866.1157
2016-01-13,879.95,883.5,850.05,868.55,901400,861.7994
2016-01-14,863.5,897,851.1,889.4,2296600,882.4874
2016-01-15,893,894.95,874.3,879.25,1301500,872.4163
2016-01-18,890,893,841.65,850.3,2335300,843.6913
2016-01-19,867.9,868.4,826,845.55,2443300,838.9782
2016-01-20,834,856,830,840.35,2247200,833.8186
2016-01-21,850,856,841,844.45,1138700,837.8868
2016-01-22,853,873.4,849.2,869.95,1774000,863.1886
2016-01-25,870,882,868.15,878.6,1794100,871.7713
2016-01-26,878.6,878.6,878.6,878.6,0,871.7713
2016-01-27,880,881.8,855.15,858.55,969500,851.8772
2016-01-28,854,865,852.15,858.95,1392000,852.2741
2016-01-29,864,875,859,869.9,1320500,863.139
2016-02-01,874.2,890,871.3,887.4,786200,880.503
2016-02-02,889.9,894.75,878,882.5,920800,875.641
2016-02-03,876.2,883.95,859.05,863.7,540700,856.9872
2016-02-04,865,895.95,865,889.35,1658800,882.4378
2016-02-05,889,903.45,886.4,899.25,1739100,892.2608
2016-02-08,903,907.5,886,888.6,783100,881.6936
2016-02-09,884.9,894.3,878.5,884.2,636300,877.3278
2016-02-10,888.5,889,866.5,876.55,707100,869.7373
2016-02-11,874.75,874.75,852,855.7,1004000,849.0493
2016-02-12,860,873.25,846.5,854.9,1089200,848.2556
2016-02-15,866,872.2,853,858.7,703900,852.026
2016-02-16,855.05,860.15,836.1,840.3,985200,833.769
2016-02-17,844,858.95,827.1,856,1171900,849.347
2016-02-18,862,863.8,830.6,835.25,997800,828.7583
2016-02-19,834.95,856.9,829,854.7,799300,848.0571
2016-02-22,856,873.2,854,870.85,609600,864.0815
2016-02-23,871,879.9,866.15,877.1,1438900,870.283
2016-02-24,879,885.75,875,881.8,1289000,874.9465
2016-02-25,880.5,884.9,858.7,861.7,1326300,855.0027
2016-02-26,868,874,854.2,862.55,536700,855.8461
2016-02-29,864.1,868.95,841.6,846.1,890800,839.5239
2016-03-01,852.6,874.65,850,871.95,1161000,865.173
2016-03-02,876,880.95,866.5,871.85,808100,865.0738
2016-03-03,874.4,896.5,871.75,880.25,1061300,873.4085
2016-03-04,886.6,890.1,858.4,865.8,1039900,859.0708
2016-03-07,865.8,865.8,865.8,865.8,0,859.0708
