"Date","PETRONET.NS.Open","PETRONET.NS.High","PETRONET.NS.Low","PETRONET.NS.Close","PETRONET.NS.Volume","PETRONET.NS.Adjusted"
2015-08-26,177.7,182,176.3,178.8,829200,175.48
2015-08-27,183,183.85,178.8,182.45,1262000,179.07
2015-08-28,184,184.95,173.5,175.9,413100,172.64
2015-08-31,176,180,174.7,177.45,232600,174.16
2015-09-01,177,179.4,171.15,175.6,270000,172.34
2015-09-02,178.4,178.4,174,175.2,366900,171.95
2015-09-03,174.15,179,174.15,177.6,384800,174.31
2015-09-04,175.55,177.45,172.9,176.35,343600,173.08
2015-09-07,176,182.9,175.6,176.95,511300,173.67
2015-09-08,177.25,181.4,176,177.8,487500,174.5
2015-09-09,178.15,180.95,178,179.95,196600,176.61
2015-09-10,174.6,178.9,173.1,173.55,271200,170.33
2015-09-11,174.1,175.95,171.45,172.4,445200,169.2
2015-09-14,173.4,174.85,172.25,174.2,457800,170.97
2015-09-15,172.5,175.45,171,173.75,299000,172.51
2015-09-16,174.05,175.35,172.4,173,532900,171.76
2015-09-17,173,173,173,173,0,171.76
2015-09-18,172.55,179.7,172.55,178.25,932700,176.98
2015-09-21,177,182.95,177,179.45,743100,178.17
2015-09-22,179.9,182.4,175.15,176.2,330300,174.94
2015-09-23,174.9,177.75,174,177.2,147300,175.93
2015-09-24,177.2,177.2,170.2,173.35,1123900,172.11
2015-09-25,173.35,173.35,173.35,173.35,0,172.11
2015-09-28,173,180.65,171.7,178.45,447300,177.17
2015-09-29,174.7,179.6,173.15,177.55,308200,176.28
2015-09-30,175.8,181.5,175.25,179.15,641400,177.87
2015-10-01,181,181.55,175.2,176.45,339400,175.19
2015-10-02,176.45,176.45,176.45,176.45,0,175.19
2015-10-05,177,179.25,174,178.2,312400,176.93
2015-10-06,179.75,183,177.8,181.9,768500,180.6
2015-10-07,181.1,185.5,181.1,184.8,1059500,183.48
2015-10-08,187.5,187.5,180.8,181.9,523200,180.6
2015-10-09,183.95,184.2,181,182,1108200,180.7
2015-10-12,182.5,184.35,181.25,181.7,189400,180.4
2015-10-13,182,184.4,181.3,183.1,465000,181.79
2015-10-14,183.45,188.95,183.1,187.95,1633700,186.61
2015-10-15,188.5,190.35,186.6,187.65,631200,186.31
2015-10-16,187.75,191.4,186.6,189.6,1471100,188.24
2015-10-19,188.15,193.25,184.15,191.4,4151300,190.03
2015-10-20,191.95,194.7,186.05,192.15,1446800,190.78
2015-10-21,191.8,193.5,189.25,192,446500,190.63
2015-10-22,192,192,192,192,0,190.63
2015-10-23,192,196.7,190.2,193.8,822600,192.41
2015-10-26,194,197.5,191.15,195.95,714200,194.55
2015-10-27,194,196.5,193.5,194.65,704700,193.26
2015-10-28,181.05,196.8,181.05,193.95,1988600,192.56
2015-10-29,192.65,195.65,191.35,193.9,876200,192.51
2015-10-30,194.1,195,190.5,194.1,389500,192.71
2015-11-02,191.05,195.4,191.05,194.35,266200,192.96
2015-11-03,194.35,203.75,193.6,201.4,964400,199.96
2015-11-04,202.3,208.35,202.3,205.55,3119000,204.08
2015-11-05,203.5,205.95,201.6,202.25,626900,200.8
2015-11-06,202,205,200,201.4,733800,199.96
2015-11-09,199,213,199,211.8,1258800,210.29
2015-11-10,212,215,204.4,206.15,896000,204.68
2015-11-11,207,207,202.05,204.1,65300,202.64
2015-11-12,204.1,204.1,204.1,204.1,0,202.64
2015-11-13,204,208.6,200.3,204.5,641600,203.04
2015-11-16,204.05,207.8,203.65,204.75,576600,203.29
2015-11-17,205,211.4,205,208.35,960100,206.86
2015-11-18,208.7,214.55,207.8,211.05,1124800,209.54
2015-11-19,212.5,213,204,206.15,1299300,204.68
2015-11-20,210.6,224.7,210.6,220.25,5776200,218.68
2015-11-23,220.5,236.3,220.5,233.05,6820100,231.38
2015-11-24,234.75,237.9,229.1,233.4,6005200,231.73
2015-11-25,233.4,233.4,233.4,233.4,0,231.73
2015-11-26,232.8,234.35,228.6,232.2,3768500,230.54
2015-11-27,231.25,233.65,229.5,230.95,1414500,229.3
2015-11-30,229.7,235.35,228.55,234.25,1777800,232.58
2015-12-01,235.15,241.45,234.8,238.4,3129400,236.7
2015-12-02,237.9,240.2,235.95,237.85,1760300,236.15
