"Date","STAR.NS.Open","STAR.NS.High","STAR.NS.Low","STAR.NS.Close","STAR.NS.Volume","STAR.NS.Adjusted"
2015-12-01,1383,1388,1356.35,1361.3,240200,1356.67
2015-12-02,1371.25,1371.25,1349.7,1354.95,240200,1350.35
2015-12-03,1360,1382.35,1352,1361,307000,1356.37
2015-12-04,1352.8,1388.95,1350.55,1373.65,430500,1368.98
2015-12-07,1377,1379.95,1341,1354.9,270200,1350.3
2015-12-08,1345.05,1383.35,1345.05,1373.3,235600,1368.63
2015-12-09,1377.3,1397.4,1355.6,1381.85,540100,1377.15
2015-12-10,1401,1401,1360.8,1376.7,298900,1372.02
2015-12-11,1380,1383,1327,1345.1,334100,1340.53
2015-12-14,1334,1335.55,1256,1281.85,656200,1277.49
2015-12-15,1275.05,1299,1255.1,1278.35,927400,1274.01
2015-12-16,1281,1293.95,1262.05,1265.65,374200,1261.35
2015-12-17,1260,1307,1256,1301.1,494200,1296.68
2015-12-18,1298,1332.65,1295,1306.25,692400,1301.81
2015-12-21,1310.5,1319.6,1303.6,1309.75,296100,1305.3
2015-12-22,1315,1317.85,1291,1298.4,258900,1293.99
2015-12-23,1301,1311,1287.6,1300.15,233200,1295.73
2015-12-24,1305,1305.15,1278.35,1290.4,280400,1286.01
2015-12-25,1290.4,1290.4,1290.4,1290.4,0,1286.01
2015-12-28,1289.8,1309,1284.55,1304.45,178600,1300.02
2015-12-29,1305,1309.05,1290,1296.95,128100,1292.54
2015-12-30,1302.1,1309.6,1297.2,1303.2,192300,1298.77
2015-12-31,1299,1304.9,1282,1289.35,365800,1284.97
2016-01-01,1287.5,1309.8,1273.05,1305.3,168900,1300.86
2016-01-04,1305.3,1305.3,1260,1279.9,233500,1275.55
2016-01-05,1285,1287.35,1260.1,1264.6,250600,1260.3
2016-01-06,1259,1280.25,1239,1256.7,344900,1252.43
2016-01-07,1239.95,1249.45,1213,1222.7,297000,1218.54
2016-01-08,1225,1239,1213,1228.05,183000,1223.88
